age,County,Population,FIP,Total,age_sort,year,merger
30 to 34 years,"Charles County, Maryland",4619,MD_017,147107,30,2008-2012,"30 to 34 yearsCharles County, Maryland"
30 to 34 years,"Frederick County, Maryland",7150,MD_021,234268,30,2008-2012,"30 to 34 yearsFrederick County, Maryland"
30 to 34 years,"Montgomery County, Maryland",34528,MD_031,974824,30,2008-2012,"30 to 34 yearsMontgomery County, Maryland"
30 to 34 years,"Prince George's County, Maryland",31839,MD_033,865443,30,2008-2012,"30 to 34 yearsPrince George's County, Maryland"
30 to 34 years,"Arlington County, Virginia",12031,VA_013,209077,30,2008-2012,"30 to 34 yearsArlington County, Virginia"
30 to 34 years,"Clarke County, Virginia",358,VA_043,14143,30,2008-2012,"30 to 34 yearsClarke County, Virginia"
30 to 34 years,"Culpeper County, Virginia",1573,VA_047,46894,30,2008-2012,"30 to 34 yearsCulpeper County, Virginia"
30 to 34 years,"Fairfax County, Virginia",39687,VA_059,1083770,30,2008-2012,"30 to 34 yearsFairfax County, Virginia"
30 to 34 years,"Fauquier County, Virginia",1735,VA_061,65495,30,2008-2012,"30 to 34 yearsFauquier County, Virginia"
30 to 34 years,"Loudoun County, Virginia",13380,VA_107,314980,30,2008-2012,"30 to 34 yearsLoudoun County, Virginia"
30 to 34 years,"Prince William County, Virginia",15916,VA_153,404011,30,2008-2012,"30 to 34 yearsPrince William County, Virginia"
30 to 34 years,"Rappahannock County, Virginia",120,VA_157,7440,30,2008-2012,"30 to 34 yearsRappahannock County, Virginia"
30 to 34 years,"Spotsylvania County, Virginia",4108,VA_177,122854,30,2008-2012,"30 to 34 yearsSpotsylvania County, Virginia"
30 to 34 years,"Stafford County, Virginia",3955,VA_179,129446,30,2008-2012,"30 to 34 yearsStafford County, Virginia"
30 to 34 years,"Warren County, Virginia",1228,VA_187,37567,30,2008-2012,"30 to 34 yearsWarren County, Virginia"
30 to 34 years,"Alexandria city, Virginia",8563,VA_510,140337,30,2008-2012,"30 to 34 yearsAlexandria city, Virginia"
30 to 34 years,"Fairfax city, Virginia",700,VA_600,22712,30,2008-2012,"30 to 34 yearsFairfax city, Virginia"
30 to 34 years,"Falls Church city, Virginia",434,VA_610,12300,30,2008-2012,"30 to 34 yearsFalls Church city, Virginia"
30 to 34 years,"Fredericksburg city, Virginia",924,VA_630,24932,30,2008-2012,"30 to 34 yearsFredericksburg city, Virginia"
30 to 34 years,"Manassas city, Virginia",1515,VA_683,37943,30,2008-2012,"30 to 34 yearsManassas city, Virginia"
30 to 34 years,"Manassas Park city, Virginia",674,VA_685,14409,30,2008-2012,"30 to 34 yearsManassas Park city, Virginia"
30 to 34 years,"Jefferson County, West Virginia",1606,WV_037,53545,30,2008-2012,"30 to 34 yearsJefferson County, West Virginia"
35 to 39 years,"District of Columbia, District of Columbia",22627,DC_001,605759,35,2008-2012,"35 to 39 yearsDistrict of Columbia, District of Columbia"
35 to 39 years,"Calvert County, Maryland",2867,MD_009,88774,35,2008-2012,"35 to 39 yearsCalvert County, Maryland"
35 to 39 years,"Charles County, Maryland",5952,MD_017,147107,35,2008-2012,"35 to 39 yearsCharles County, Maryland"
35 to 39 years,"Frederick County, Maryland",7971,MD_021,234268,35,2008-2012,"35 to 39 yearsFrederick County, Maryland"
35 to 39 years,"Montgomery County, Maryland",36400,MD_031,974824,35,2008-2012,"35 to 39 yearsMontgomery County, Maryland"
35 to 39 years,"Prince George's County, Maryland",32177,MD_033,865443,35,2008-2012,"35 to 39 yearsPrince George's County, Maryland"
35 to 39 years,"Arlington County, Virginia",8508,VA_013,209077,35,2008-2012,"35 to 39 yearsArlington County, Virginia"
35 to 39 years,"Clarke County, Virginia",395,VA_043,14143,35,2008-2012,"35 to 39 yearsClarke County, Virginia"
35 to 39 years,"Culpeper County, Virginia",1698,VA_047,46894,35,2008-2012,"35 to 39 yearsCulpeper County, Virginia"
35 to 39 years,"Fairfax County, Virginia",40579,VA_059,1083770,35,2008-2012,"35 to 39 yearsFairfax County, Virginia"
35 to 39 years,"Fauquier County, Virginia",2049,VA_061,65495,35,2008-2012,"35 to 39 yearsFauquier County, Virginia"
35 to 39 years,"Loudoun County, Virginia",14656,VA_107,314980,35,2008-2012,"35 to 39 yearsLoudoun County, Virginia"
35 to 39 years,"Prince William County, Virginia",16886,VA_153,404011,35,2008-2012,"35 to 39 yearsPrince William County, Virginia"
35 to 39 years,"Rappahannock County, Virginia",209,VA_157,7440,35,2008-2012,"35 to 39 yearsRappahannock County, Virginia"
35 to 39 years,"Spotsylvania County, Virginia",4503,VA_177,122854,35,2008-2012,"35 to 39 yearsSpotsylvania County, Virginia"
35 to 39 years,"Stafford County, Virginia",4528,VA_179,129446,35,2008-2012,"35 to 39 yearsStafford County, Virginia"
35 to 39 years,"Warren County, Virginia",1116,VA_187,37567,35,2008-2012,"35 to 39 yearsWarren County, Virginia"
35 to 39 years,"Alexandria city, Virginia",6661,VA_510,140337,35,2008-2012,"35 to 39 yearsAlexandria city, Virginia"
35 to 39 years,"Fairfax city, Virginia",821,VA_600,22712,35,2008-2012,"35 to 39 yearsFairfax city, Virginia"
35 to 39 years,"Falls Church city, Virginia",353,VA_610,12300,35,2008-2012,"35 to 39 yearsFalls Church city, Virginia"
35 to 39 years,"Fredericksburg city, Virginia",720,VA_630,24932,35,2008-2012,"35 to 39 yearsFredericksburg city, Virginia"
35 to 39 years,"Manassas city, Virginia",1483,VA_683,37943,35,2008-2012,"35 to 39 yearsManassas city, Virginia"
35 to 39 years,"Manassas Park city, Virginia",607,VA_685,14409,35,2008-2012,"35 to 39 yearsManassas Park city, Virginia"
35 to 39 years,"Jefferson County, West Virginia",1863,WV_037,53545,35,2008-2012,"35 to 39 yearsJefferson County, West Virginia"
40 to 44 years,"District of Columbia, District of Columbia",18134,DC_001,605759,40,2008-2012,"40 to 44 yearsDistrict of Columbia, District of Columbia"
40 to 44 years,"Calvert County, Maryland",3762,MD_009,88774,40,2008-2012,"40 to 44 yearsCalvert County, Maryland"
40 to 44 years,"Charles County, Maryland",6788,MD_017,147107,40,2008-2012,"40 to 44 yearsCharles County, Maryland"
40 to 44 years,"Frederick County, Maryland",9820,MD_021,234268,40,2008-2012,"40 to 44 yearsFrederick County, Maryland"
40 to 44 years,"Montgomery County, Maryland",37814,MD_031,974824,40,2008-2012,"40 to 44 yearsMontgomery County, Maryland"
40 to 44 years,"Prince George's County, Maryland",33329,MD_033,865443,40,2008-2012,"40 to 44 yearsPrince George's County, Maryland"
40 to 44 years,"Arlington County, Virginia",7340,VA_013,209077,40,2008-2012,"40 to 44 yearsArlington County, Virginia"
40 to 44 years,"Clarke County, Virginia",576,VA_043,14143,40,2008-2012,"40 to 44 yearsClarke County, Virginia"
40 to 44 years,"Culpeper County, Virginia",1521,VA_047,46894,40,2008-2012,"40 to 44 yearsCulpeper County, Virginia"
40 to 44 years,"Fairfax County, Virginia",43795,VA_059,1083770,40,2008-2012,"40 to 44 yearsFairfax County, Virginia"
40 to 44 years,"Fauquier County, Virginia",2680,VA_061,65495,40,2008-2012,"40 to 44 yearsFauquier County, Virginia"
40 to 44 years,"Loudoun County, Virginia",15313,VA_107,314980,40,2008-2012,"40 to 44 yearsLoudoun County, Virginia"
40 to 44 years,"Prince William County, Virginia",16431,VA_153,404011,40,2008-2012,"40 to 44 yearsPrince William County, Virginia"
40 to 44 years,"Rappahannock County, Virginia",293,VA_157,7440,40,2008-2012,"40 to 44 yearsRappahannock County, Virginia"
40 to 44 years,"Spotsylvania County, Virginia",5004,VA_177,122854,40,2008-2012,"40 to 44 yearsSpotsylvania County, Virginia"
40 to 44 years,"Stafford County, Virginia",5824,VA_179,129446,40,2008-2012,"40 to 44 yearsStafford County, Virginia"
40 to 44 years,"Warren County, Virginia",1438,VA_187,37567,40,2008-2012,"40 to 44 yearsWarren County, Virginia"
40 to 44 years,"Alexandria city, Virginia",5602,VA_510,140337,40,2008-2012,"40 to 44 yearsAlexandria city, Virginia"
40 to 44 years,"Fairfax city, Virginia",823,VA_600,22712,40,2008-2012,"40 to 44 yearsFairfax city, Virginia"
40 to 44 years,"Falls Church city, Virginia",496,VA_610,12300,40,2008-2012,"40 to 44 yearsFalls Church city, Virginia"
40 to 44 years,"Fredericksburg city, Virginia",556,VA_630,24932,40,2008-2012,"40 to 44 yearsFredericksburg city, Virginia"
40 to 44 years,"Manassas city, Virginia",1223,VA_683,37943,40,2008-2012,"40 to 44 yearsManassas city, Virginia"
40 to 44 years,"Manassas Park city, Virginia",734,VA_685,14409,40,2008-2012,"40 to 44 yearsManassas Park city, Virginia"
40 to 44 years,"Jefferson County, West Virginia",2171,WV_037,53545,40,2008-2012,"40 to 44 yearsJefferson County, West Virginia"
45 to 49 years,"District of Columbia, District of Columbia",18981,DC_001,605759,45,2008-2012,"45 to 49 yearsDistrict of Columbia, District of Columbia"
45 to 49 years,"Calvert County, Maryland",4319,MD_009,88774,45,2008-2012,"45 to 49 yearsCalvert County, Maryland"
45 to 49 years,"Charles County, Maryland",7047,MD_017,147107,45,2008-2012,"45 to 49 yearsCharles County, Maryland"
45 to 49 years,"Frederick County, Maryland",10405,MD_021,234268,45,2008-2012,"45 to 49 yearsFrederick County, Maryland"
45 to 49 years,"Montgomery County, Maryland",40718,MD_031,974824,45,2008-2012,"45 to 49 yearsMontgomery County, Maryland"
45 to 49 years,"Prince George's County, Maryland",35219,MD_033,865443,45,2008-2012,"45 to 49 yearsPrince George's County, Maryland"
45 to 49 years,"Arlington County, Virginia",6527,VA_013,209077,45,2008-2012,"45 to 49 yearsArlington County, Virginia"
45 to 49 years,"Clarke County, Virginia",611,VA_043,14143,45,2008-2012,"45 to 49 yearsClarke County, Virginia"
45 to 49 years,"Culpeper County, Virginia",1845,VA_047,46894,45,2008-2012,"45 to 49 yearsCulpeper County, Virginia"
45 to 49 years,"Fairfax County, Virginia",45350,VA_059,1083770,45,2008-2012,"45 to 49 yearsFairfax County, Virginia"
45 to 49 years,"Fauquier County, Virginia",3054,VA_061,65495,45,2008-2012,"45 to 49 yearsFauquier County, Virginia"
45 to 49 years,"Loudoun County, Virginia",13763,VA_107,314980,45,2008-2012,"45 to 49 yearsLoudoun County, Virginia"
45 to 49 years,"Prince William County, Virginia",16453,VA_153,404011,45,2008-2012,"45 to 49 yearsPrince William County, Virginia"
45 to 49 years,"Rappahannock County, Virginia",284,VA_157,7440,45,2008-2012,"45 to 49 yearsRappahannock County, Virginia"
45 to 49 years,"Spotsylvania County, Virginia",5237,VA_177,122854,45,2008-2012,"45 to 49 yearsSpotsylvania County, Virginia"
45 to 49 years,"Stafford County, Virginia",6082,VA_179,129446,45,2008-2012,"45 to 49 yearsStafford County, Virginia"
45 to 49 years,"Warren County, Virginia",1631,VA_187,37567,45,2008-2012,"45 to 49 yearsWarren County, Virginia"
45 to 49 years,"Alexandria city, Virginia",4713,VA_510,140337,45,2008-2012,"45 to 49 yearsAlexandria city, Virginia"
45 to 49 years,"Fairfax city, Virginia",804,VA_600,22712,45,2008-2012,"45 to 49 yearsFairfax city, Virginia"
45 to 49 years,"Falls Church city, Virginia",477,VA_610,12300,45,2008-2012,"45 to 49 yearsFalls Church city, Virginia"
45 to 49 years,"Fredericksburg city, Virginia",736,VA_630,24932,45,2008-2012,"45 to 49 yearsFredericksburg city, Virginia"
45 to 49 years,"Manassas city, Virginia",1484,VA_683,37943,45,2008-2012,"45 to 49 yearsManassas city, Virginia"
45 to 49 years,"Manassas Park city, Virginia",393,VA_685,14409,45,2008-2012,"45 to 49 yearsManassas Park city, Virginia"
45 to 49 years,"Jefferson County, West Virginia",2181,WV_037,53545,45,2008-2012,"45 to 49 yearsJefferson County, West Virginia"
50 to 54 years,"District of Columbia, District of Columbia",19068,DC_001,605759,50,2008-2012,"50 to 54 yearsDistrict of Columbia, District of Columbia"
50 to 54 years,"Calvert County, Maryland",3976,MD_009,88774,50,2008-2012,"50 to 54 yearsCalvert County, Maryland"
50 to 54 years,"Charles County, Maryland",5672,MD_017,147107,50,2008-2012,"50 to 54 yearsCharles County, Maryland"
50 to 54 years,"Frederick County, Maryland",9328,MD_021,234268,50,2008-2012,"50 to 54 yearsFrederick County, Maryland"
50 to 54 years,"Montgomery County, Maryland",39646,MD_031,974824,50,2008-2012,"50 to 54 yearsMontgomery County, Maryland"
50 to 54 years,"Prince George's County, Maryland",33629,MD_033,865443,50,2008-2012,"50 to 54 yearsPrince George's County, Maryland"
50 to 54 years,"Arlington County, Virginia",6129,VA_013,209077,50,2008-2012,"50 to 54 yearsArlington County, Virginia"
50 to 54 years,"Clarke County, Virginia",593,VA_043,14143,50,2008-2012,"50 to 54 yearsClarke County, Virginia"
50 to 54 years,"Culpeper County, Virginia",1770,VA_047,46894,50,2008-2012,"50 to 54 yearsCulpeper County, Virginia"
50 to 54 years,"Fairfax County, Virginia",43753,VA_059,1083770,50,2008-2012,"50 to 54 yearsFairfax County, Virginia"
50 to 54 years,"Fauquier County, Virginia",2824,VA_061,65495,50,2008-2012,"50 to 54 yearsFauquier County, Virginia"
50 to 54 years,"Loudoun County, Virginia",10601,VA_107,314980,50,2008-2012,"50 to 54 yearsLoudoun County, Virginia"
50 to 54 years,"Prince William County, Virginia",14152,VA_153,404011,50,2008-2012,"50 to 54 yearsPrince William County, Virginia"
50 to 54 years,"Rappahannock County, Virginia",304,VA_157,7440,50,2008-2012,"50 to 54 yearsRappahannock County, Virginia"
50 to 54 years,"Spotsylvania County, Virginia",4607,VA_177,122854,50,2008-2012,"50 to 54 yearsSpotsylvania County, Virginia"
50 to 54 years,"Stafford County, Virginia",4862,VA_179,129446,50,2008-2012,"50 to 54 yearsStafford County, Virginia"
50 to 54 years,"Warren County, Virginia",1451,VA_187,37567,50,2008-2012,"50 to 54 yearsWarren County, Virginia"
50 to 54 years,"Alexandria city, Virginia",4695,VA_510,140337,50,2008-2012,"50 to 54 yearsAlexandria city, Virginia"
50 to 54 years,"Fairfax city, Virginia",862,VA_600,22712,50,2008-2012,"50 to 54 yearsFairfax city, Virginia"
50 to 54 years,"Falls Church city, Virginia",618,VA_610,12300,50,2008-2012,"50 to 54 yearsFalls Church city, Virginia"
50 to 54 years,"Fredericksburg city, Virginia",744,VA_630,24932,50,2008-2012,"50 to 54 yearsFredericksburg city, Virginia"
50 to 54 years,"Manassas city, Virginia",1330,VA_683,37943,50,2008-2012,"50 to 54 yearsManassas city, Virginia"
50 to 54 years,"Manassas Park city, Virginia",414,VA_685,14409,50,2008-2012,"50 to 54 yearsManassas Park city, Virginia"
50 to 54 years,"Jefferson County, West Virginia",2010,WV_037,53545,50,2008-2012,"50 to 54 yearsJefferson County, West Virginia"
55 to 59 years,"District of Columbia, District of Columbia",17910,DC_001,605759,55,2008-2012,"55 to 59 yearsDistrict of Columbia, District of Columbia"
55 to 59 years,"Calvert County, Maryland",2874,MD_009,88774,55,2008-2012,"55 to 59 yearsCalvert County, Maryland"
55 to 59 years,"Charles County, Maryland",4552,MD_017,147107,55,2008-2012,"55 to 59 yearsCharles County, Maryland"
55 to 59 years,"Frederick County, Maryland",7278,MD_021,234268,55,2008-2012,"55 to 59 yearsFrederick County, Maryland"
55 to 59 years,"Montgomery County, Maryland",34627,MD_031,974824,55,2008-2012,"55 to 59 yearsMontgomery County, Maryland"
55 to 59 years,"Prince George's County, Maryland",30275,MD_033,865443,55,2008-2012,"55 to 59 yearsPrince George's County, Maryland"
55 to 59 years,"Arlington County, Virginia",6136,VA_013,209077,55,2008-2012,"55 to 59 yearsArlington County, Virginia"
55 to 59 years,"Clarke County, Virginia",587,VA_043,14143,55,2008-2012,"55 to 59 yearsClarke County, Virginia"
55 to 59 years,"Culpeper County, Virginia",1358,VA_047,46894,55,2008-2012,"55 to 59 yearsCulpeper County, Virginia"
55 to 59 years,"Fairfax County, Virginia",37087,VA_059,1083770,55,2008-2012,"55 to 59 yearsFairfax County, Virginia"
55 to 59 years,"Fauquier County, Virginia",2179,VA_061,65495,55,2008-2012,"55 to 59 yearsFauquier County, Virginia"
55 to 59 years,"Loudoun County, Virginia",7870,VA_107,314980,55,2008-2012,"55 to 59 yearsLoudoun County, Virginia"
55 to 59 years,"Prince William County, Virginia",10520,VA_153,404011,55,2008-2012,"55 to 59 yearsPrince William County, Virginia"
55 to 59 years,"Rappahannock County, Virginia",299,VA_157,7440,55,2008-2012,"55 to 59 yearsRappahannock County, Virginia"
55 to 59 years,"Spotsylvania County, Virginia",3844,VA_177,122854,55,2008-2012,"55 to 59 yearsSpotsylvania County, Virginia"
55 to 59 years,"Stafford County, Virginia",3705,VA_179,129446,55,2008-2012,"55 to 59 yearsStafford County, Virginia"
55 to 59 years,"Warren County, Virginia",1313,VA_187,37567,55,2008-2012,"55 to 59 yearsWarren County, Virginia"
55 to 59 years,"Alexandria city, Virginia",4496,VA_510,140337,55,2008-2012,"55 to 59 yearsAlexandria city, Virginia"
55 to 59 years,"Fairfax city, Virginia",874,VA_600,22712,55,2008-2012,"55 to 59 yearsFairfax city, Virginia"
55 to 59 years,"Falls Church city, Virginia",398,VA_610,12300,55,2008-2012,"55 to 59 yearsFalls Church city, Virginia"
55 to 59 years,"Fredericksburg city, Virginia",575,VA_630,24932,55,2008-2012,"55 to 59 yearsFredericksburg city, Virginia"
55 to 59 years,"Manassas city, Virginia",996,VA_683,37943,55,2008-2012,"55 to 59 yearsManassas city, Virginia"
55 to 59 years,"Manassas Park city, Virginia",263,VA_685,14409,55,2008-2012,"55 to 59 yearsManassas Park city, Virginia"
55 to 59 years,"Jefferson County, West Virginia",2063,WV_037,53545,55,2008-2012,"55 to 59 yearsJefferson County, West Virginia"
60 and 61 years,"District of Columbia, District of Columbia",7223,DC_001,605759,60,2008-2012,"60 and 61 yearsDistrict of Columbia, District of Columbia"
60 and 61 years,"Calvert County, Maryland",1088,MD_009,88774,60,2008-2012,"60 and 61 yearsCalvert County, Maryland"
60 and 61 years,"Charles County, Maryland",1745,MD_017,147107,60,2008-2012,"60 and 61 yearsCharles County, Maryland"
60 and 61 years,"Frederick County, Maryland",3116,MD_021,234268,60,2008-2012,"60 and 61 yearsFrederick County, Maryland"
60 and 61 years,"Montgomery County, Maryland",13709,MD_031,974824,60,2008-2012,"60 and 61 yearsMontgomery County, Maryland"
60 and 61 years,"Prince George's County, Maryland",10730,MD_033,865443,60,2008-2012,"60 and 61 yearsPrince George's County, Maryland"
60 and 61 years,"Arlington County, Virginia",1986,VA_013,209077,60,2008-2012,"60 and 61 yearsArlington County, Virginia"
60 and 61 years,"Clarke County, Virginia",224,VA_043,14143,60,2008-2012,"60 and 61 yearsClarke County, Virginia"
60 and 61 years,"Culpeper County, Virginia",647,VA_047,46894,60,2008-2012,"60 and 61 yearsCulpeper County, Virginia"
60 and 61 years,"Fairfax County, Virginia",13837,VA_059,1083770,60,2008-2012,"60 and 61 yearsFairfax County, Virginia"
60 and 61 years,"Fauquier County, Virginia",847,VA_061,65495,60,2008-2012,"60 and 61 yearsFauquier County, Virginia"
60 and 61 years,"Loudoun County, Virginia",2566,VA_107,314980,60,2008-2012,"60 and 61 yearsLoudoun County, Virginia"
60 and 61 years,"Prince William County, Virginia",4312,VA_153,404011,60,2008-2012,"60 and 61 yearsPrince William County, Virginia"
60 and 61 years,"Rappahannock County, Virginia",145,VA_157,7440,60,2008-2012,"60 and 61 yearsRappahannock County, Virginia"
60 and 61 years,"Spotsylvania County, Virginia",1530,VA_177,122854,60,2008-2012,"60 and 61 yearsSpotsylvania County, Virginia"
60 and 61 years,"Stafford County, Virginia",1144,VA_179,129446,60,2008-2012,"60 and 61 yearsStafford County, Virginia"
60 and 61 years,"Warren County, Virginia",392,VA_187,37567,60,2008-2012,"60 and 61 yearsWarren County, Virginia"
60 and 61 years,"Alexandria city, Virginia",1828,VA_510,140337,60,2008-2012,"60 and 61 yearsAlexandria city, Virginia"
60 and 61 years,"Fairfax city, Virginia",214,VA_600,22712,60,2008-2012,"60 and 61 yearsFairfax city, Virginia"
60 and 61 years,"Falls Church city, Virginia",228,VA_610,12300,60,2008-2012,"60 and 61 yearsFalls Church city, Virginia"
60 and 61 years,"Fredericksburg city, Virginia",366,VA_630,24932,60,2008-2012,"60 and 61 yearsFredericksburg city, Virginia"
60 and 61 years,"Manassas city, Virginia",341,VA_683,37943,60,2008-2012,"60 and 61 yearsManassas city, Virginia"
60 and 61 years,"Manassas Park city, Virginia",149,VA_685,14409,60,2008-2012,"60 and 61 yearsManassas Park city, Virginia"
60 and 61 years,"Jefferson County, West Virginia",568,WV_037,53545,60,2008-2012,"60 and 61 yearsJefferson County, West Virginia"
62 to 64 years,"District of Columbia, District of Columbia",9930,DC_001,605759,62,2008-2012,"62 to 64 yearsDistrict of Columbia, District of Columbia"
62 to 64 years,"Calvert County, Maryland",1534,MD_009,88774,62,2008-2012,"62 to 64 yearsCalvert County, Maryland"
62 to 64 years,"Charles County, Maryland",2110,MD_017,147107,62,2008-2012,"62 to 64 yearsCharles County, Maryland"
62 to 64 years,"Frederick County, Maryland",3585,MD_021,234268,62,2008-2012,"62 to 64 yearsFrederick County, Maryland"
62 to 64 years,"Montgomery County, Maryland",15189,MD_031,974824,62,2008-2012,"62 to 64 yearsMontgomery County, Maryland"
62 to 64 years,"Prince George's County, Maryland",13062,MD_033,865443,62,2008-2012,"62 to 64 yearsPrince George's County, Maryland"
62 to 64 years,"Arlington County, Virginia",2469,VA_013,209077,62,2008-2012,"62 to 64 yearsArlington County, Virginia"
62 to 64 years,"Clarke County, Virginia",250,VA_043,14143,62,2008-2012,"62 to 64 yearsClarke County, Virginia"
62 to 64 years,"Culpeper County, Virginia",855,VA_047,46894,62,2008-2012,"62 to 64 yearsCulpeper County, Virginia"
62 to 64 years,"Fairfax County, Virginia",17310,VA_059,1083770,62,2008-2012,"62 to 64 yearsFairfax County, Virginia"
62 to 64 years,"Fauquier County, Virginia",1300,VA_061,65495,62,2008-2012,"62 to 64 yearsFauquier County, Virginia"
62 to 64 years,"Loudoun County, Virginia",3335,VA_107,314980,62,2008-2012,"62 to 64 yearsLoudoun County, Virginia"
62 to 64 years,"Prince William County, Virginia",5042,VA_153,404011,62,2008-2012,"62 to 64 yearsPrince William County, Virginia"
62 to 64 years,"Rappahannock County, Virginia",221,VA_157,7440,62,2008-2012,"62 to 64 yearsRappahannock County, Virginia"
62 to 64 years,"Spotsylvania County, Virginia",1682,VA_177,122854,62,2008-2012,"62 to 64 yearsSpotsylvania County, Virginia"
62 to 64 years,"Stafford County, Virginia",1480,VA_179,129446,62,2008-2012,"62 to 64 yearsStafford County, Virginia"
62 to 64 years,"Warren County, Virginia",646,VA_187,37567,62,2008-2012,"62 to 64 yearsWarren County, Virginia"
62 to 64 years,"Alexandria city, Virginia",2128,VA_510,140337,62,2008-2012,"62 to 64 yearsAlexandria city, Virginia"
62 to 64 years,"Fairfax city, Virginia",433,VA_600,22712,62,2008-2012,"62 to 64 yearsFairfax city, Virginia"
62 to 64 years,"Falls Church city, Virginia",260,VA_610,12300,62,2008-2012,"62 to 64 yearsFalls Church city, Virginia"
62 to 64 years,"Fredericksburg city, Virginia",219,VA_630,24932,62,2008-2012,"62 to 64 yearsFredericksburg city, Virginia"
62 to 64 years,"Manassas city, Virginia",443,VA_683,37943,62,2008-2012,"62 to 64 yearsManassas city, Virginia"
62 to 64 years,"Manassas Park city, Virginia",117,VA_685,14409,62,2008-2012,"62 to 64 yearsManassas Park city, Virginia"
62 to 64 years,"Jefferson County, West Virginia",850,WV_037,53545,62,2008-2012,"62 to 64 yearsJefferson County, West Virginia"
65 and 66 years,"District of Columbia, District of Columbia",5259,DC_001,605759,65,2008-2012,"65 and 66 yearsDistrict of Columbia, District of Columbia"
65 and 66 years,"Calvert County, Maryland",971,MD_009,88774,65,2008-2012,"65 and 66 yearsCalvert County, Maryland"
65 and 66 years,"Charles County, Maryland",1096,MD_017,147107,65,2008-2012,"65 and 66 yearsCharles County, Maryland"
65 and 66 years,"Frederick County, Maryland",1713,MD_021,234268,65,2008-2012,"65 and 66 yearsFrederick County, Maryland"
65 and 66 years,"Montgomery County, Maryland",8829,MD_031,974824,65,2008-2012,"65 and 66 yearsMontgomery County, Maryland"
65 and 66 years,"Prince George's County, Maryland",7901,MD_033,865443,65,2008-2012,"65 and 66 yearsPrince George's County, Maryland"
65 and 66 years,"Arlington County, Virginia",1531,VA_013,209077,65,2008-2012,"65 and 66 yearsArlington County, Virginia"
65 and 66 years,"Clarke County, Virginia",171,VA_043,14143,65,2008-2012,"65 and 66 yearsClarke County, Virginia"
65 and 66 years,"Culpeper County, Virginia",516,VA_047,46894,65,2008-2012,"65 and 66 yearsCulpeper County, Virginia"
65 and 66 years,"Fairfax County, Virginia",9043,VA_059,1083770,65,2008-2012,"65 and 66 yearsFairfax County, Virginia"
65 and 66 years,"Fauquier County, Virginia",669,VA_061,65495,65,2008-2012,"65 and 66 yearsFauquier County, Virginia"
65 and 66 years,"Loudoun County, Virginia",1833,VA_107,314980,65,2008-2012,"65 and 66 yearsLoudoun County, Virginia"
65 and 66 years,"Prince William County, Virginia",2402,VA_153,404011,65,2008-2012,"65 and 66 yearsPrince William County, Virginia"
65 and 66 years,"Rappahannock County, Virginia",56,VA_157,7440,65,2008-2012,"65 and 66 yearsRappahannock County, Virginia"
65 and 66 years,"Spotsylvania County, Virginia",1136,VA_177,122854,65,2008-2012,"65 and 66 yearsSpotsylvania County, Virginia"
65 and 66 years,"Stafford County, Virginia",761,VA_179,129446,65,2008-2012,"65 and 66 yearsStafford County, Virginia"
65 and 66 years,"Warren County, Virginia",436,VA_187,37567,65,2008-2012,"65 and 66 yearsWarren County, Virginia"
65 and 66 years,"Alexandria city, Virginia",1063,VA_510,140337,65,2008-2012,"65 and 66 yearsAlexandria city, Virginia"
65 and 66 years,"Fairfax city, Virginia",148,VA_600,22712,65,2008-2012,"65 and 66 yearsFairfax city, Virginia"
65 and 66 years,"Falls Church city, Virginia",95,VA_610,12300,65,2008-2012,"65 and 66 yearsFalls Church city, Virginia"
65 and 66 years,"Fredericksburg city, Virginia",138,VA_630,24932,65,2008-2012,"65 and 66 yearsFredericksburg city, Virginia"
65 and 66 years,"Manassas city, Virginia",93,VA_683,37943,65,2008-2012,"65 and 66 yearsManassas city, Virginia"
65 and 66 years,"Manassas Park city, Virginia",66,VA_685,14409,65,2008-2012,"65 and 66 yearsManassas Park city, Virginia"
65 and 66 years,"Jefferson County, West Virginia",595,WV_037,53545,65,2008-2012,"65 and 66 yearsJefferson County, West Virginia"
67 to 69 years,"District of Columbia, District of Columbia",6624,DC_001,605759,67,2008-2012,"67 to 69 yearsDistrict of Columbia, District of Columbia"
67 to 69 years,"Calvert County, Maryland",771,MD_009,88774,67,2008-2012,"67 to 69 yearsCalvert County, Maryland"
67 to 69 years,"Charles County, Maryland",1528,MD_017,147107,67,2008-2012,"67 to 69 yearsCharles County, Maryland"
67 to 69 years,"Frederick County, Maryland",2577,MD_021,234268,67,2008-2012,"67 to 69 yearsFrederick County, Maryland"
67 to 69 years,"Montgomery County, Maryland",11018,MD_031,974824,67,2008-2012,"67 to 69 yearsMontgomery County, Maryland"
67 to 69 years,"Prince George's County, Maryland",9364,MD_033,865443,67,2008-2012,"67 to 69 yearsPrince George's County, Maryland"
67 to 69 years,"Arlington County, Virginia",1665,VA_013,209077,67,2008-2012,"67 to 69 yearsArlington County, Virginia"
67 to 69 years,"Clarke County, Virginia",294,VA_043,14143,67,2008-2012,"67 to 69 yearsClarke County, Virginia"
67 to 69 years,"Culpeper County, Virginia",533,VA_047,46894,67,2008-2012,"67 to 69 yearsCulpeper County, Virginia"
67 to 69 years,"Fairfax County, Virginia",10283,VA_059,1083770,67,2008-2012,"67 to 69 yearsFairfax County, Virginia"
