estimate_year,index,CA_037,CA_059,DC_001,DE_003,FL_011,FL_086,FL_099,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,MA_009,MA_017,MA_021,MA_023,MA_025,MD_009,MD_015,MD_017,MD_021,MD_031,MD_033,MSA,NH_015,NH_017,NJ_003,NJ_005,NJ_007,NJ_013,NJ_015,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_033,NJ_035,NJ_037,NJ_039,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,PA_017,PA_029,PA_045,PA_091,PA_101,PA_103,TX_015,TX_039,TX_071,TX_085,TX_113,TX_121,TX_139,TX_157,TX_167,TX_201,TX_221,TX_231,TX_251,TX_257,TX_291,TX_339,TX_367,TX_397,TX_425,TX_439,TX_473,TX_497,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WI_059,WV_037
2005-2009,"B25024_11_boat,_rv,_van,_etc.",,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,37980.0,,,,0,65,,0,,,,,,,,0,,,,,,,,,,,,,,,,24,41,11,49,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25077_1_median_value_(dollars),,,,245800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254700,,,,,37980.0,,,,264100,217300,,230900,,,,,,,,187400,,,,,,,,,,,,,,,,318200,328900,224400,294000,128900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_1_total,,,,212163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40100,,,,,37980.0,,,,173858,205611,,106284,,,,,,,,27459,,,,,,,,,,,,,,,,240086,183168,220716,313224,661299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_2_built_2005_or_later,,,,4442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189,,,,,37980.0,,,,2922,3095,,3715,,,,,,,,583,,,,,,,,,,,,,,,,3853,6332,2615,4946,6122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_3_built_2000_to_2004,,,,13952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5327,,,,,37980.0,,,,13477,7940,,10347,,,,,,,,1172,,,,,,,,,,,,,,,,14428,18735,5683,16966,10470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_4_built_1990_to_1999,,,,29835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8553,,,,,37980.0,,,,23857,15413,,14892,,,,,,,,1924,,,,,,,,,,,,,,,,32471,30028,12570,36728,14794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_5_built_1980_to_1989,,,,28719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810,,,,,37980.0,,,,25143,23791,,15591,,,,,,,,2662,,,,,,,,,,,,,,,,36521,31368,14386,35857,26001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_6_built_1970_to_1979,,,,27916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318,,,,,37980.0,,,,33873,32239,,16676,,,,,,,,4179,,,,,,,,,,,,,,,,45124,28328,20907,42090,44447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_7_built_1960_to_1969,,,,33269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3503,,,,,37980.0,,,,26792,31757,,12451,,,,,,,,3608,,,,,,,,,,,,,,,,31917,19093,25361,39817,69481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_8_built_1950_to_1959,,,,31640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3699,,,,,37980.0,,,,21540,33475,,14074,,,,,,,,4350,,,,,,,,,,,,,,,,42820,17661,58217,54354,119301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_9_built_1940_to_1949,,,,15263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890,,,,,37980.0,,,,6418,19543,,5757,,,,,,,,2413,,,,,,,,,,,,,,,,9274,5613,31266,21843,105874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B25034_10_built_1939_or_earlier,,,,27127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4811,,,,,37980.0,,,,19836,38358,,12781,,,,,,,,6568,,,,,,,,,,,,,,,,23678,26010,49711,60623,264809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_1_total,,,,527774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99069,,,,,37980.0,,,,446301,516937,,284552,,,,,,,,65982,,,,,,,,,,,,,,,,621241,486301,555018,776306,1531112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_2_not_hispanic_or_latino,,,,488763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96773,,,,,37980.0,,,,422033,454460,,274112,,,,,,,,62362,,,,,,,,,,,,,,,,600101,461969,542525,751437,1362190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_3_white_alone,,,,343102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88615,,,,,37980.0,,,,323485,326624,,235238,,,,,,,,51130,,,,,,,,,,,,,,,,550683,410596,413658,638087,608294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_4_black_or_african_american_alone,,,,117395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5229,,,,,37980.0,,,,70116,94186,,27227,,,,,,,,9703,,,,,,,,,,,,,,,,22075,29527,97992,61082,641689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_5_american_indian_and_alaska_native_alone,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,37980.0,,,,422,878,,266,,,,,,,,180,,,,,,,,,,,,,,,,536,366,315,519,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_6_asian_alone,,,,19922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954,,,,,37980.0,,,,17846,23459,,6209,,,,,,,,405,,,,,,,,,,,,,,,,20371,15457,24067,40334,83767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_7_native_hawaiian_and_other_pacific_islander_alone,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,37980.0,,,,19,163,,72,,,,,,,,24,,,,,,,,,,,,,,,,204,59,152,322,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_8_some_other_race_alone,,,,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,,37980.0,,,,1306,1294,,470,,,,,,,,230,,,,,,,,,,,,,,,,755,933,549,1222,6541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_9_two_or_more_races,,,,6627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,,,,37980.0,,,,8839,7856,,4630,,,,,,,,690,,,,,,,,,,,,,,,,5477,5031,5792,9871,19200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_10_two_races_including_some_other_race,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,37980.0,,,,414,400,,145,,,,,,,,12,,,,,,,,,,,,,,,,231,217,263,363,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",,,,6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,,,,37980.0,,,,8425,7456,,4485,,,,,,,,678,,,,,,,,,,,,,,,,5246,4814,5529,9508,18188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_12_hispanic_or_latino,,,,39011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,,,,,37980.0,,,,24268,62477,,10440,,,,,,,,3620,,,,,,,,,,,,,,,,21140,24332,12493,24869,168922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_13_white_alone,,,,27744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579,,,,,37980.0,,,,13053,18757,,5246,,,,,,,,2075,,,,,,,,,,,,,,,,15378,16743,7310,16579,58433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_14_black_or_african_american_alone,,,,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,,37980.0,,,,1189,3241,,418,,,,,,,,237,,,,,,,,,,,,,,,,419,537,1166,814,12743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_15_american_indian_and_alaska_native_alone,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,37980.0,,,,131,660,,62,,,,,,,,22,,,,,,,,,,,,,,,,116,8,76,35,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_16_asian_alone,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,37980.0,,,,76,70,,153,,,,,,,,0,,,,,,,,,,,,,,,,278,20,58,248,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_17_native_hawaiian_and_other_pacific_islander_alone,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,37980.0,,,,0,0,,0,,,,,,,,0,,,,,,,,,,,,,,,,17,0,0,17,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_18_some_other_race_alone,,,,7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,,37980.0,,,,7792,35885,,3524,,,,,,,,1102,,,,,,,,,,,,,,,,4009,6101,3404,5560,88131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_19_two_or_more_races,,,,1266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,37980.0,,,,2027,3864,,1037,,,,,,,,184,,,,,,,,,,,,,,,,923,923,479,1616,7982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B03002_20_two_races_including_some_other_race,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,37980.0,,,,1216,2540,,526,,,,,,,,120,,,,,,,,,,,,,,,,765,506,284,1092,4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",,,,802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,37980.0,,,,811,1324,,511,,,,,,,,64,,,,,,,,,,,,,,,,158,417,195,524,3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_1_total,,,,195137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35872,,,,,37980.0,,,,165336,192095,,100680,,,,,,,,25194,,,,,,,,,,,,,,,,227204,175312,204481,298326,566697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_2_households_with_one_or_more_people_under_18_years,,,,68021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13531,,,,,37980.0,,,,59359,69608,,38991,,,,,,,,8296,,,,,,,,,,,,,,,,77988,64320,68546,99928,168817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_3_family_households,,,,67325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13357,,,,,37980.0,,,,58866,68985,,38637,,,,,,,,8211,,,,,,,,,,,,,,,,77567,63970,68045,99190,167111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_4_married-couple_family,,,,43683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9477,,,,,37980.0,,,,44108,43615,,28411,,,,,,,,5289,,,,,,,,,,,,,,,,61820,51818,46586,76572,70566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_5_other_family,,,,23642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3880,,,,,37980.0,,,,14758,25370,,10226,,,,,,,,2922,,,,,,,,,,,,,,,,15747,12152,21459,22618,96545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11005_6_male_householder,_no_wife_present",,,,5409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353,,,,,37980.0,,,,3727,5054,,2447,,,,,,,,752,,,,,,,,,,,,,,,,4002,3676,4725,5679,16488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11005_7_female_householder,_no_husband_present",,,,18233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2527,,,,,37980.0,,,,11031,20316,,7779,,,,,,,,2170,,,,,,,,,,,,,,,,11745,8476,16734,16939,80057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_8_nonfamily_households,,,,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,37980.0,,,,493,623,,354,,,,,,,,85,,,,,,,,,,,,,,,,421,350,501,738,1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_9_male_householder,,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,37980.0,,,,385,493,,260,,,,,,,,44,,,,,,,,,,,,,,,,316,248,363,566,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_10_female_householder,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,37980.0,,,,108,130,,94,,,,,,,,41,,,,,,,,,,,,,,,,105,102,138,172,730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_11_households_with_no_people_under_18_years,,,,127116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22341,,,,,37980.0,,,,105977,122487,,61689,,,,,,,,16898,,,,,,,,,,,,,,,,149216,110992,135935,198398,397880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_12_family_households,,,,63286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12672,,,,,37980.0,,,,57618,61735,,34295,,,,,,,,9265,,,,,,,,,,,,,,,,85821,61080,67781,103704,143944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_13_married-couple_family,,,,51254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11007,,,,,37980.0,,,,47794,46976,,28195,,,,,,,,7506,,,,,,,,,,,,,,,,73108,52924,52727,88315,92684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_14_other_family,,,,12032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665,,,,,37980.0,,,,9824,14759,,6100,,,,,,,,1759,,,,,,,,,,,,,,,,12713,8156,15054,15389,51260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11005_15_male_householder,_no_wife_present",,,,3601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,,,,,37980.0,,,,2906,4527,,1775,,,,,,,,634,,,,,,,,,,,,,,,,4391,2718,4503,4632,14669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,"B11005_16_female_householder,_no_husband_present",,,,8431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181,,,,,37980.0,,,,6918,10232,,4325,,,,,,,,1125,,,,,,,,,,,,,,,,8322,5438,10551,10757,36591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_17_nonfamily_households,,,,63830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9669,,,,,37980.0,,,,48359,60752,,27394,,,,,,,,7633,,,,,,,,,,,,,,,,63395,49912,68154,94694,253936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_18_male_householder,,,,29109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4656,,,,,37980.0,,,,21271,26396,,12112,,,,,,,,3304,,,,,,,,,,,,,,,,28854,21767,29038,40760,110331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11005_19_female_householder,,,,34721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5013,,,,,37980.0,,,,27088,34356,,15282,,,,,,,,4329,,,,,,,,,,,,,,,,34541,28145,39116,53934,143605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_1_total,,,,195137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35872,,,,,37980.0,,,,165336,192095,,100680,,,,,,,,25194,,,,,,,,,,,,,,,,227204,175312,204481,298326,566697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_2_family_households,,,,130611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26029,,,,,37980.0,,,,116484,130720,,72932,,,,,,,,17476,,,,,,,,,,,,,,,,163388,125050,135826,202894,311055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_3_2-person_household,,,,54190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10549,,,,,37980.0,,,,47463,48938,,26394,,,,,,,,7772,,,,,,,,,,,,,,,,65988,50530,53685,85081,126766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_4_3-person_household,,,,32828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6029,,,,,37980.0,,,,26963,33799,,17306,,,,,,,,3723,,,,,,,,,,,,,,,,38131,26814,32758,45770,81004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_5_4-person_household,,,,26869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5634,,,,,37980.0,,,,26231,27838,,18505,,,,,,,,3654,,,,,,,,,,,,,,,,37524,29397,28439,45369,56221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_6_5-person_household,,,,10794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665,,,,,37980.0,,,,11058,13321,,7231,,,,,,,,1501,,,,,,,,,,,,,,,,15147,12646,14280,18902,29261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_7_6-person_household,,,,3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658,,,,,37980.0,,,,3341,4365,,2352,,,,,,,,628,,,,,,,,,,,,,,,,4762,3765,4595,5097,10860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_8_7-or-more_person_household,,,,2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494,,,,,37980.0,,,,1428,2459,,1144,,,,,,,,198,,,,,,,,,,,,,,,,1836,1898,2069,2675,6943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_9_nonfamily_households,,,,64526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9843,,,,,37980.0,,,,48852,61375,,27748,,,,,,,,7718,,,,,,,,,,,,,,,,63816,50262,68655,95432,255642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_10_1-person_household,,,,52228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8042,,,,,37980.0,,,,40855,51522,,22915,,,,,,,,6446,,,,,,,,,,,,,,,,53573,40252,58925,79934,219579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_11_2-person_household,,,,10297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1451,,,,,37980.0,,,,6807,8307,,4179,,,,,,,,1181,,,,,,,,,,,,,,,,9189,8409,8301,13255,29524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_12_3-person_household,,,,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,37980.0,,,,728,835,,365,,,,,,,,73,,,,,,,,,,,,,,,,794,966,936,1554,4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_13_4-person_household,,,,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,37980.0,,,,353,545,,205,,,,,,,,18,,,,,,,,,,,,,,,,208,403,283,511,1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_14_5-person_household,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,37980.0,,,,52,92,,81,,,,,,,,0,,,,,,,,,,,,,,,,52,114,148,95,595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_15_6-person_household,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,37980.0,,,,39,65,,0,,,,,,,,0,,,,,,,,,,,,,,,,0,79,31,83,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,B11016_16_7-or-more_person_household,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,37980.0,,,,18,9,,3,,,,,,,,0,,,,,,,,,,,,,,,,0,39,31,0,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-2009,FILEID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACSSF,ACSSF,ACSSF,,,,,ACSSF,ACSSF,ACSSF,,,,,ACSSF,ACSSF,,,,,ACSSF,,,,,,,,,,,,,,,,,,,,
2005-2009,FILETYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009e5,2009e5,2009e5,,,,,2009e5,2009e5,2009e5,,,,,2009e5,2009e5,,,,,2009e5,,,,,,,,,,,,,,,,,,,,
2005-2009,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tx,tx,tx,,,,,tx,tx,tx,,,,,tx,tx,,,,,tx,,,,,,,,,,,,,,,,,,,,
2005-2009,CHARITER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,000,000,,,,,000,000,000,,,,,000,000,,,,,000,,,,,,,,,,,,,,,,,,,,
