B25024_9_50_or_more,191910,3274,224227,27260,483779,3678,263,180473,13687,4892,9935,60446,32322,35919,51146,532,12829,16543,8105,6147,10752,3961,781,11720,96,2013-2017
B25024_10_mobile_home,793,3794,1481,910,517,3516,284,1302,474,1343,5083,609,1001,262,448,168,2155,3025,514,6386,341,157,985,378,1354,2013-2017
"B25024_11_boat,_rv,_van,_etc.",783,22,564,65,476,22,32,185,13,14,148,150,128,33,116,8,25,18,45,11,20,7,0,188,8,2013-2017
B25077_1_median_value_(dollars),371800,275200,623900,460700,915300,260300,357700,481300,460200,425100,379400,513300,451200,362300,349500,393800,329000,396200,438100,267900,333200,412800,264100,351800,183400,2013-2017
B25034_1_total,524488,120136,1028383,471031,872645,141493,38578,850422,179179,105530,574342,373236,355632,315186,277742,49984,299753,260524,191642,281171,176843,125762,62275,201442,38899,2013-2017
B25034_2_built_2014_or_later,1660,354,3897,1225,2901,748,50,2546,442,417,1912,879,2405,1341,2951,103,1781,1781,913,3381,598,1241,190,939,96,2013-2017
B25034_3_built_2010_to_2013,8212,1418,14791,3659,12672,2680,398,10372,1801,1913,4092,3204,3822,3632,6005,346,4912,4178,2234,5255,1745,2447,521,2311,398,2013-2017
B25034_4_built_2000_to_2009,26332,12635,57327,15831,62066,16251,2973,41852,16696,7620,45003,19400,21198,22591,33620,4481,26279,25981,15274,40394,9677,11761,5672,12089,7337,2013-2017
B25034_5_built_1990_to_1999,19406,10413,28873,12930,33362,13887,3483,24449,19320,9674,49102,18620,20753,18493,16707,7739,31760,30922,24519,37396,10284,22358,5944,9516,6421,2013-2017
B25034_6_built_1980_to_1989,18301,17392,31296,21637,56592,19379,5369,30838,26856,10574,58977,28856,28212,19114,17599,10178,49686,39132,23674,50238,11745,24757,9870,11296,9104,2013-2017
B25034_7_built_1970_to_1979,42007,18059,54598,27318,71139,18461,6110,49311,29841,19444,104649,34937,32867,28011,24591,7013,38417,35111,28037,56562,16653,13853,12045,15111,6642,2013-2017
B25034_8_built_1960_to_1969,70678,16490,113913,60249,111529,15067,5857,117171,24689,23438,119519,51587,52941,37069,27043,4317,48389,38189,29892,39352,28285,16660,8467,27509,2883,2013-2017
B25034_9_built_1950_to_1959,74871,16343,109179,170926,84731,14252,4964,172454,17217,14249,107110,71296,79887,52150,27599,4485,51891,35432,29196,27344,36209,13701,7735,46188,2367,2013-2017
B25034_10_built_1940_to_1949,61443,6050,89650,63250,63810,6667,2946,136567,7261,3913,28959,30218,41159,35512,21814,1881,17114,12027,11588,9099,24312,5523,3368,28543,808,2013-2017
B25034_11_built_1939_or_earlier,201578,20982,524859,94006,373843,34101,6428,264862,35056,14288,55019,114239,72388,97273,99813,9441,29524,37771,26315,12150,37335,13461,8463,47940,2843,2013-2017
B25127_1_total,495356,107384,944650,444136,758345,126460,34316,777904,166150,99935,489328,345885,337819,280327,252352,46822,283794,232482,180124,223135,162440,115970,53618,187916,21379,2013-2017
B25127_2_owner_occupied,97658,74264,283752,357982,182453,86449,28101,346041,115428,68822,393065,212731,218066,124852,79116,39185,180484,171560,135197,178570,86901,88188,44342,110762,17981,2013-2017
B25127_3_built_2010_or_later,666,917,3253,2781,1591,1551,280,3117,1322,933,3216,1299,3109,990,1619,325,3378,3367,2027,4569,914,1976,326,833,358,2013-2017
"B25127_4_1,_detached__or_attached",126,750,402,2261,45,1262,280,1115,1003,566,2980,1133,2597,713,295,325,2987,3108,1661,4460,459,1844,253,677,358,2013-2017
B25127_5_2_to_4,128,31,746,136,0,24,0,775,249,53,42,54,141,102,344,0,103,25,12,59,50,0,12,61,0,2013-2017
B25127_6_5_to_19,79,37,824,153,117,176,0,284,16,132,106,23,206,66,264,0,83,116,87,35,244,15,33,58,0,2013-2017
B25127_7_20_to_49,53,49,603,83,351,31,0,281,15,71,38,21,88,37,161,0,94,33,100,0,75,98,0,24,0,2013-2017
B25127_8_50_or_more,271,13,678,138,1069,0,0,640,31,23,32,68,77,72,555,0,35,0,145,0,78,5,10,13,0,2013-2017
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",9,37,0,10,9,58,0,22,8,88,18,0,0,0,0,0,76,85,22,15,8,14,18,0,0,2013-2017
B25127_10_built_2000_to_2009,4332,7958,18301,10284,11726,11122,2203,12224,11831,3627,25895,9546,11435,6061,9752,3576,15250,16904,10814,26073,4973,8623,4453,4061,4128,2013-2017
"B25127_11_1,_detached__or_attached",1448,7403,2802,7319,831,10028,2074,3979,8980,2725,23570,7423,8478,3701,1898,3456,13265,14916,8533,24858,3089,7873,4163,2768,4034,2013-2017
B25127_12_2_to_4,2257,122,5146,757,343,125,0,4988,2754,185,843,571,859,1631,1627,43,304,157,82,117,488,114,78,975,6,2013-2017
B25127_13_5_to_19,123,95,4820,1404,901,513,61,733,31,272,684,168,421,416,1245,22,512,623,228,157,365,255,113,142,3,2013-2017
B25127_14_20_to_49,204,85,2533,383,1844,6,33,883,9,142,75,314,500,175,888,40,500,257,837,87,421,248,33,130,0,2013-2017
B25127_15_50_or_more,290,22,2925,371,7704,11,0,1561,13,184,267,1052,1128,123,4043,0,468,758,1118,4,610,124,0,24,0,2013-2017
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",10,231,75,50,103,439,35,80,44,119,456,18,49,15,51,15,201,193,16,850,0,9,66,22,85,2013-2017
B25127_17_built_1980_to_1999,6931,18653,16498,22335,17288,22556,7109,17226,33653,13651,65359,29323,26803,12297,8777,14979,47505,51262,34052,61320,11708,34472,11820,7854,7338,2013-2017
"B25127_18_1,_detached__or_attached",2853,16365,7133,17936,1169,19318,6668,5476,27180,12043,61004,23990,18895,8485,2712,13611,40027,45886,30129,57990,9072,30308,10845,5932,7096,2013-2017
B25127_19_2_to_4,2874,604,5903,1320,176,730,133,6545,4912,538,1812,1196,2013,2104,2680,326,1608,804,769,499,795,966,175,1076,11,2013-2017
B25127_20_5_to_19,343,384,1693,1178,897,1481,140,1329,422,535,1090,1144,2724,941,1210,988,4379,2457,2216,818,908,2813,708,512,5,2013-2017
B25127_21_20_to_49,407,19,679,755,1873,57,10,1042,523,162,143,697,928,251,725,30,482,364,466,138,448,286,8,106,0,2013-2017
B25127_22_50_or_more,361,33,903,911,13135,48,38,2568,555,44,215,2214,2113,499,1386,21,422,831,262,211,444,63,30,219,0,2013-2017
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",93,1248,187,235,38,922,120,266,61,329,1095,82,130,17,64,3,587,920,210,1664,41,36,54,9,226,2013-2017
B25127_24_built_1960_to_1979,26775,22049,38358,60566,46843,21815,8863,57237,34727,29600,163202,46732,48517,19095,14160,9201,50277,46538,39486,60699,22014,21640,15357,20632,3593,2013-2017
"B25127_25_1,_detached__or_attached",5792,19618,10227,51380,1248,19718,8381,21103,26604,25279,153376,31962,37642,14478,4772,8800,46358,42657,37874,56156,17624,20851,14884,18026,3473,2013-2017
B25127_26_2_to_4,5703,673,13859,2295,514,655,216,15545,6398,1667,3763,2995,3683,2920,5511,108,1662,553,350,2058,3129,263,153,1872,0,2013-2017
B25127_27_5_to_19,259,705,564,1144,782,671,169,1255,434,1781,3168,2099,796,572,569,249,1324,1679,734,465,595,452,187,270,0,2013-2017
B25127_28_20_to_49,1951,22,1320,1262,3332,87,18,2603,269,212,545,2020,526,215,540,10,81,351,278,39,181,29,0,201,0,2013-2017
B25127_29_50_or_more,12992,118,12279,4211,40817,116,44,16590,928,399,651,7589,5613,836,2684,15,171,790,88,63,331,30,20,195,9,2013-2017
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",78,913,109,274,150,568,35,141,94,262,1699,67,257,74,84,19,681,508,162,1918,154,15,113,68,111,2013-2017
B25127_31_built_1940_to_1959,30477,14485,57887,192369,27636,13534,5862,139961,13546,12858,101290,63501,81117,38382,14618,4726,46198,31953,31593,19830,31372,13404,7654,48334,1182,2013-2017
"B25127_32_1,_detached__or_attached",13463,13812,24121,183498,1892,13030,5666,78909,11295,11982,98925,46396,72545,31541,7335,4671,44470,30947,30898,18814,26744,12958,7529,44626,1139,2013-2017
B25127_33_2_to_4,6513,559,17802,4167,412,328,182,28189,1735,437,1610,5479,6057,6053,5321,18,1316,469,504,786,4056,386,108,3443,11,2013-2017
B25127_34_5_to_19,489,38,1331,1320,1026,108,0,3453,138,97,252,2182,530,202,526,15,201,303,77,88,237,45,0,163,14,2013-2017
B25127_35_20_to_49,2011,7,2629,1426,3966,22,0,7687,47,160,141,2643,744,234,748,0,89,53,0,49,135,0,0,54,0,2013-2017
B25127_36_50_or_more,7975,37,11868,1897,20340,0,14,21559,297,109,307,6741,1099,352,644,0,68,130,107,12,175,15,0,13,0,2013-2017
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",26,32,136,61,0,46,0,164,34,73,55,60,142,0,44,22,54,51,7,81,25,0,17,35,18,2013-2017
B25127_38_built_1939_or_earlier,28477,10202,149455,69647,77369,15871,3784,116276,20349,8153,34103,62330,47085,48027,30190,6378,17876,21536,17225,6079,15920,8073,4732,29048,1382,2013-2017
"B25127_39_1,_detached__or_attached",13843,9221,64899,65093,5518,14243,3686,75882,16317,7209,32201,48435,40087,38077,12689,6087,15981,20467,16534,5723,11581,7312,4590,25365,1356,2013-2017
B25127_40_2_to_4,10349,857,64043,2830,3627,1540,63,29093,3526,814,1361,7867,6259,9290,12971,265,1781,739,606,291,4111,761,93,3486,26,2013-2017
B25127_41_5_to_19,542,68,7693,359,12494,57,10,2238,41,30,176,1053,221,228,2336,10,22,154,30,33,115,0,43,44,0,2013-2017
B25127_42_20_to_49,1299,0,4545,566,21602,6,25,2476,107,77,65,1917,185,250,967,0,35,76,32,14,51,0,0,67,0,2013-2017
B25127_43_50_or_more,2395,46,7978,719,34030,8,0,6531,310,23,261,3029,307,182,1182,8,7,85,5,0,40,0,6,39,0,2013-2017
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",49,10,297,80,98,17,0,56,48,0,39,29,26,0,45,8,50,15,18,18,22,0,0,47,0,2013-2017
B25127_45_renter_occupied,397698,33120,660898,86154,575892,40011,6215,431863,50722,31113,96263,133154,119753,155475,173236,7637,103310,60922,44927,44565,75539,27782,9276,77154,3398,2013-2017
B25127_46_built_2010_or_later,8787,702,13542,1599,11647,1631,157,7884,683,1245,1271,2564,2813,3118,6170,112,2855,1724,970,1803,1098,1300,193,1903,51,2013-2017
"B25127_47_1,_detached__or_attached",154,127,220,304,31,165,0,209,72,103,248,156,382,151,117,44,356,366,110,688,104,117,15,209,51,2013-2017
B25127_48_2_to_4,633,206,1903,110,150,231,50,1709,175,432,104,409,591,993,660,4,344,113,50,49,493,248,50,450,0,2013-2017
B25127_49_5_to_19,867,115,2269,218,809,728,55,1100,88,529,270,480,304,383,857,31,1105,460,290,498,298,266,89,325,0,2013-2017
B25127_50_20_to_49,2081,176,2441,169,1481,328,52,805,79,40,335,568,265,529,694,33,337,367,93,133,79,225,28,234,0,2013-2017
B25127_51_50_or_more,5052,61,6703,784,9176,179,0,4046,269,116,243,951,1271,1062,3833,0,675,377,427,399,124,418,7,636,0,2013-2017
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,17,6,14,0,0,0,15,0,25,71,0,0,0,9,0,38,41,0,36,0,26,4,49,0,2013-2017
B25127_53_built_2000_to_2009,20444,3524,33825,4208,36979,3953,554,23308,3628,3643,10638,7943,7721,13057,19838,671,10076,5997,3653,7439,3648,2519,535,6871,422,2013-2017
"B25127_54_1,_detached__or_attached",958,748,630,682,157,774,102,1044,1371,586,2275,888,1012,2316,1073,219,1725,1245,799,3224,436,768,267,854,289,2013-2017
B25127_55_2_to_4,4508,801,11216,881,973,604,73,11447,1719,1185,2074,1480,1356,6277,5157,79,2394,693,433,821,1515,321,20,3017,60,2013-2017
B25127_56_5_to_19,2306,946,8431,631,3200,1462,72,3792,227,948,3451,894,1181,1617,2374,88,2541,1237,768,1639,740,587,91,1060,0,2013-2017
B25127_57_20_to_49,4475,358,4811,347,4148,299,235,2182,58,265,1017,804,861,937,1749,55,1414,363,426,394,204,302,50,901,0,2013-2017
B25127_58_50_or_more,8175,546,8614,1647,28501,634,22,4830,253,565,1760,3877,3248,1870,9476,230,1979,2295,1227,1295,744,541,101,1039,56,2013-2017
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",22,125,123,20,0,180,50,13,0,94,61,0,63,40,9,0,23,164,0,66,9,0,6,0,17,2013-2017
B25127_60_built_1980_to_1999,28592,6744,40016,9771,59128,7971,1197,33489,10420,5772,22131,15012,19866,21726,23147,2269,29760,13917,11422,12798,8946,9406,2084,11867,1046,2013-2017
"B25127_61_1,_detached__or_attached",1741,1334,2493,2033,353,1674,654,2322,3130,1166,6834,2173,2533,2957,1892,821,5349,3767,2140,5924,1327,3016,789,1319,854,2013-2017
B25127_62_2_to_4,6053,1811,13167,3366,1478,1998,242,15347,4895,1460,4404,3725,6038,8143,7211,440,4962,2309,2186,1309,3840,1720,335,4065,99,2013-2017
B25127_63_5_to_19,3800,2205,9859,1293,7398,2737,245,5108,805,1622,6531,2611,4092,3652,4722,624,13254,3448,3564,2727,1547,2902,698,2428,21,2013-2017
B25127_64_20_to_49,7438,378,5561,924,9056,577,43,3371,330,469,1966,1666,2453,2276,2685,185,2483,978,1477,1003,696,617,92,1821,29,2013-2017
B25127_65_50_or_more,9492,581,8695,2142,40782,723,5,7206,1242,955,2147,4735,4697,4687,6539,169,3646,3287,2048,1713,1536,1122,153,2204,31,2013-2017
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",68,435,241,13,61,262,8,135,18,100,249,102,53,11,98,30,66,128,7,122,0,29,17,30,12,2013-2017
B25127_67_built_1960_to_1979,80712,9578,119633,21103,117066,8784,1845,96293,16172,11140,33846,33256,33292,39721,33768,1622,31626,19992,15372,15148,19618,6814,2828,19636,1115,2013-2017
"B25127_68_1,_detached__or_attached",2550,2054,3535,4704,743,2051,824,5331,2584,2275,16399,3565,4655,2577,2167,583,4768,3798,2145,7906,1681,1448,1336,1866,747,2013-2017
B25127_69_2_to_4,11758,3084,31088,5851,2471,2359,560,31960,6994,3195,6265,8237,12977,12614,11641,330,7866,4162,3102,1966,9148,1859,478,7925,143,2013-2017
B25127_70_5_to_19,7202,2353,18406,3283,12597,3030,301,11061,1481,3127,6994,5935,6642,7959,7793,560,12731,6199,6071,2594,4369,2244,714,3594,86,2013-2017
B25127_71_20_to_49,17767,629,16198,1965,19373,388,90,10730,818,989,1805,4574,3030,4896,3728,95,2844,1734,2644,1033,1438,455,118,2812,58,2013-2017
B25127_72_50_or_more,41073,1010,50158,5230,81684,662,70,37049,4295,1468,1946,10945,5798,11628,8385,54,3328,3955,1391,1140,2937,791,172,3333,0,2013-2017
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",362,448,248,70,198,294,0,162,0,86,437,0,190,47,54,0,89,144,19,509,45,17,10,106,81,2013-2017
B25127_74_built_1940_to_1959,99482,5339,128702,30705,108926,5120,1014,145884,8611,4194,18632,31664,34689,38864,30906,863,18735,10244,6744,5191,23862,3981,1715,21762,263,2013-2017
"B25127_75_1,_detached__or_attached",4182,1833,5094,13120,969,2118,630,13094,1400,1286,12383,4765,7663,3755,2589,455,6066,4355,2686,3287,3631,1594,1011,4183,175,2013-2017
B25127_76_2_to_4,13355,2097,31831,8478,2678,1760,259,45116,2899,1332,3403,9494,16542,16858,11943,227,6364,2374,2067,677,12587,1463,372,10044,66,2013-2017
B25127_77_5_to_19,10091,1110,20524,2877,17556,677,108,19632,847,928,1390,5865,5412,7072,8932,111,3526,2025,787,587,4515,725,230,3333,5,2013-2017
B25127_78_20_to_49,31576,81,27937,2193,26158,205,17,25765,1043,362,500,4617,2518,4409,4413,28,1721,524,637,391,1284,145,48,2093,14,2013-2017
B25127_79_50_or_more,40000,207,43158,4017,61520,337,0,42211,2401,286,871,6824,2537,6762,3029,32,1003,919,556,235,1825,54,49,2057,0,2013-2017
"B25127_80_mobile_home,_boat,_rv,_van,_etc.",278,11,158,20,45,23,0,66,21,0,85,99,17,8,0,10,55,47,11,14,20,0,5,52,3,2013-2017
B25127_81_built_1939_or_earlier,159681,7233,325180,18768,242146,12552,1448,125005,11208,5119,9745,42715,21372,38989,59407,2100,10258,9048,6766,2186,18367,3762,1921,15115,501,2013-2017
"B25127_82_1,_detached__or_attached",4105,2120,12779,7001,1488,3762,608,12329,2304,1374,4959,6024,4119,4860,3603,880,2884,3918,2661,1344,1946,1091,720,2965,220,2013-2017
B25127_83_2_to_4,20832,3022,118296,6752,10675,5848,594,48605,5606,2651,3078,16025,11192,19535,26070,971,5451,2802,2639,534,10619,1902,612,7444,224,2013-2017
B25127_84_5_to_19,18374,1423,80545,1716,67422,2028,199,23936,835,734,882,8702,2973,6493,17849,134,1035,1226,793,126,3323,365,355,2126,51,2013-2017
B25127_85_20_to_49,60089,366,56456,1367,88629,287,28,20671,673,97,456,5504,1720,4187,7949,103,432,609,470,53,1038,210,81,1504,3,2013-2017
B25127_86_50_or_more,55707,302,56745,1878,73682,564,19,19338,1723,249,280,6281,1261,3879,3866,3,431,485,182,89,1441,187,153,1013,0,2013-2017
"B25127_87_mobile_home,_boat,_rv,_van,_etc.",574,0,359,54,250,63,0,126,67,14,90,179,107,35,70,9,25,8,21,40,0,7,0,63,3,2013-2017
B03002_1_total,1455846,295685,2635121,1363069,1653877,378174,99464,2339280,475948,325027,1497595,975321,937920,800401,679756,125717,837288,627551,498847,589699,510563,333316,143570,557320,55687,2013-2017
B03002_2_not_hispanic_or_latino,645297,261023,2126756,1138874,1222628,303531,85780,1684487,389408,268776,1218641,741240,760987,620740,386291,117916,666687,561070,433972,536438,303626,285419,132792,386131,49930,2013-2017
B03002_3_white_alone,137674,213506,947519,836384,773377,247267,79747,593073,295516,205500,1025705,530156,542226,249087,195557,108455,371039,473037,359215,500671,214683,192408,125183,226675,45178,2013-2017
B03002_4_black_or_african_american_alone,427414,28360,805388,150103,206945,36590,2204,401543,44600,37408,108361,131769,49842,310404,73309,3135,77992,42037,15142,16278,54255,30152,2829,111889,3158,2013-2017
B03002_5_american_indian_and_alaska_native_alone,3617,427,3904,1549,2029,807,82,4831,679,470,2120,1427,995,1130,885,66,1126,463,238,220,839,398,12,410,64,2013-2017
B03002_6_asian_alone,52360,10989,311901,122957,196447,9728,2201,587891,39805,19570,57325,57004,151869,40966,102008,4819,200508,34053,50277,11488,26714,56772,2814,27503,674,2013-2017
B03002_7_native_hawaiian_and_other_pacific_islander_alone,507,68,669,204,637,135,23,870,136,20,329,137,235,165,420,17,228,199,34,154,107,16,6,46,8,2013-2017
B03002_8_some_other_race_alone,8949,1066,10980,6769,6732,1687,134,46396,1230,1146,5416,4228,2125,7414,3434,39,2417,1533,729,491,1493,512,97,11682,167,2013-2017
B03002_9_two_or_more_races,14776,6607,46395,20908,36461,7317,1389,49883,7442,4662,19385,16519,13695,11574,10678,1385,13377,9748,8337,7136,5535,5161,1851,7926,681,2013-2017
B03002_10_two_races_including_some_other_race,2321,299,4101,3862,2682,497,27,11963,584,420,2182,1544,1459,1177,1749,162,2839,723,648,231,669,582,43,1250,52,2013-2017
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",12455,6308,42294,17046,33779,6820,1362,37920,6858,4242,17203,14975,12236,10397,8929,1223,10538,9025,7689,6905,4866,4579,1808,6676,629,2013-2017
B03002_12_hispanic_or_latino,810549,34662,508365,224195,431249,74643,13684,654793,86540,56251,278954,234081,176933,179661,293465,7801,170601,66481,64875,53261,206937,47897,10778,171189,5757,2013-2017
B03002_13_white_alone,167865,19005,191249,102688,158728,33029,8851,336223,60576,24854,179493,107642,122180,87676,180611,5887,126777,42176,47221,37827,104414,32990,8361,88746,4362,2013-2017
B03002_14_black_or_african_american_alone,62118,2676,64079,7236,39658,3646,210,25125,4637,3235,8669,10908,6549,9874,10805,271,6023,3107,923,1522,6068,1183,168,5963,224,2013-2017
B03002_15_american_indian_and_alaska_native_alone,6041,685,4831,1785,4006,440,175,3925,624,138,1623,2671,632,905,1247,4,456,504,354,90,1246,366,26,1099,5,2013-2017
B03002_16_asian_alone,1053,55,1990,424,2049,135,24,4356,482,149,747,580,739,359,1028,14,735,202,206,130,383,334,50,316,143,2013-2017
B03002_17_native_hawaiian_and_other_pacific_islander_alone,465,35,306,10,364,65,0,375,29,13,203,47,73,31,147,0,23,50,27,88,34,5,8,138,11,2013-2017
B03002_18_some_other_race_alone,536728,9893,221299,87271,189845,31534,3462,255662,16676,24216,70242,99919,39034,71799,87976,1310,29708,17799,14187,11604,83146,11364,1828,68813,671,2013-2017
B03002_19_two_or_more_races,36279,2313,24611,24781,36599,5794,962,29127,3516,3646,17977,12314,7726,9017,11651,315,6879,2643,1957,2000,11646,1655,337,6114,341,2013-2017
B03002_20_two_races_including_some_other_race,19374,1090,11538,11490,15070,3820,362,16918,1671,2048,7438,7315,3062,4339,5707,116,4487,1094,819,1206,3379,568,160,2967,255,2013-2017
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",16905,1223,13073,13291,21529,1974,600,12209,1845,1598,10539,4999,4664,4678,5944,199,2392,1549,1138,794,8267,1087,177,3147,86,2013-2017
B11005_1_total,495356,107384,944650,444136,758345,126460,34316,777904,166150,99935,489328,345885,337819,280327,252352,46822,283794,232482,180124,223135,162440,115970,53618,187916,21379,2013-2017
B11005_2_households_with_one_or_more_people_under_18_years,188504,32188,299491,158298,136720,45704,11318,246724,59160,38048,168629,118173,114062,99082,80576,14356,103712,72868,60235,62139,60391,40879,16446,70540,6092,2013-2017
B11005_3_family_households,187484,31862,297921,157742,135909,45466,11231,245035,58873,37916,167363,117456,113684,98470,80116,14301,103293,72350,59889,61560,60112,40773,16354,70272,6025,2013-2017
B11005_4_married-couple_family,70340,23180,175883,125068,81901,33422,9273,162697,42922,29660,127066,85305,89790,56026,48070,11744,78226,55370,49756,45814,37152,33141,12922,46327,4500,2013-2017
B11005_5_other_family,117144,8682,122038,32674,54008,12044,1958,82338,15951,8256,40297,32151,23894,42444,32046,2557,25067,16980,10133,15746,22960,7632,3432,23945,1525,2013-2017
"B11005_6_male_householder,_no_wife_present",18784,2002,22886,8338,9453,2823,678,20359,3124,2232,10519,8052,5862,8714,7620,804,6037,4187,2672,4231,4659,1542,968,6311,530,2013-2017
"B11005_7_female_householder,_no_husband_present",98360,6680,99152,24336,44555,9221,1280,61979,12827,6024,29778,24099,18032,33730,24426,1753,19030,12793,7461,11515,18301,6090,2464,17634,995,2013-2017
B11005_8_nonfamily_households,1020,326,1570,556,811,238,87,1689,287,132,1266,717,378,612,460,55,419,518,346,579,279,106,92,268,67,2013-2017
B11005_9_male_householder,630,242,900,316,587,124,87,1054,158,117,1049,524,322,372,255,32,281,416,266,503,212,106,69,189,58,2013-2017
B11005_10_female_householder,390,84,670,240,224,114,0,635,129,15,217,193,56,240,205,23,138,102,80,76,67,0,23,79,9,2013-2017
B11005_11_households_with_no_people_under_18_years,306852,75196,645159,285838,621625,80756,22998,531180,106990,61887,320699,227712,223757,181245,171776,32466,180082,159614,119889,160996,102049,75091,37172,117376,15287,2013-2017
B11005_12_family_households,138812,40234,287690,182406,184791,43646,14593,280071,64419,36794,192507,122440,130643,83377,76351,19973,103812,89037,69876,87842,58605,43351,22360,64543,9271,2013-2017
B11005_13_married-couple_family,66982,33285,179915,145460,130659,35309,12493,188711,47948,30468,155156,95061,102502,54513,51450,17551,82048,73026,58063,73199,42666,36849,18748,46995,8055,2013-2017
B11005_14_other_family,71830,6949,107775,36946,54132,8337,2100,91360,16471,6326,37351,27379,28141,28864,24901,2422,21764,16011,11813,14643,15939,6502,3612,17548,1216,2013-2017
"B11005_15_male_householder,_no_wife_present",19426,2002,31053,10636,14064,2517,587,29476,4997,1901,11807,8492,9086,8388,8666,740,7281,4551,3581,4545,4530,1948,1329,5316,460,2013-2017
"B11005_16_female_householder,_no_husband_present",52404,4947,76722,26310,40068,5820,1513,61884,11474,4425,25544,18887,19055,20476,16235,1682,14483,11460,8232,10098,11409,4554,2283,12232,756,2013-2017
B11005_17_nonfamily_households,168040,34962,357469,103432,436834,37110,8405,251109,42571,25093,128192,105272,93114,97868,95425,12493,76270,70577,50013,73154,43444,31740,14812,52833,6016,2013-2017
B11005_18_male_householder,75162,16276,155848,39743,194250,17025,3971,113618,17919,10201,54848,41636,39653,44325,47858,5507,33913,30246,21483,28235,18662,13142,6924,22899,3014,2013-2017
B11005_19_female_householder,92878,18686,201621,63689,242584,20085,4434,137491,24652,14892,73344,63636,53461,53543,47567,6986,42357,40331,28530,44919,24782,18598,7888,29934,3002,2013-2017
