B03002_5_american_indian_and_alaska_native_alone,129,910,577,1202,1366,1299,466,46,73,1626,171,279,1097,41,298,401,108,326,106,15,89,23,3,83,2005-2009
B03002_6_asian_alone,1225,3603,7838,124195,32172,17246,17197,79,607,161770,1083,33779,24796,20,2556,3075,322,7331,3539,1040,458,1459,739,424,2005-2009
B03002_7_native_hawaiian_and_other_pacific_islander_alone,0,30,381,94,184,402,63,0,0,1079,48,167,400,0,106,64,54,210,54,0,16,0,0,0,2005-2009
B03002_8_some_other_race_alone,31,303,437,4741,2560,2302,1670,36,113,3687,114,911,1798,24,206,344,29,575,42,21,184,48,37,28,2005-2009
B03002_9_two_or_more_races,1546,3238,3782,18043,15859,8126,3897,163,866,20008,1107,6378,8150,137,2581,2822,464,3151,537,141,199,863,200,665,2005-2009
B03002_10_two_races_including_some_other_race,11,138,58,994,705,540,137,0,4,1665,13,378,613,13,175,74,0,114,33,39,0,82,46,15,2005-2009
"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",1535,3100,3724,17049,15154,7586,3760,163,862,18343,1094,6000,7537,124,2406,2748,464,3037,504,102,199,781,154,650,2005-2009
B03002_12_hispanic_or_latino,2212,5134,12566,142509,103186,49813,34484,506,3278,141343,3520,28026,66648,91,7538,9601,1089,19746,3181,1053,1723,9685,3531,1910,2005-2009
B03002_13_white_alone,1392,3250,6166,65202,43723,23249,15129,311,1566,83573,2279,15867,30040,33,3764,3770,794,10587,2267,478,535,3847,1434,1159,2005-2009
B03002_14_black_or_african_american_alone,194,588,306,3651,4558,3120,198,0,231,2102,41,856,1489,0,578,232,14,1293,0,19,107,40,47,19,2005-2009
B03002_15_american_indian_and_alaska_native_alone,15,98,195,1418,1128,274,105,0,0,2096,0,55,604,0,0,107,0,353,0,0,19,52,47,5,2005-2009
B03002_16_asian_alone,0,120,30,802,298,193,168,0,12,623,91,164,216,0,18,64,0,59,14,82,0,0,0,30,2005-2009
B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,13,0,146,339,24,72,0,0,33,0,38,23,0,63,40,0,0,0,0,18,0,0,22,2005-2009
B03002_18_some_other_race_alone,548,842,5038,65665,50007,21633,15910,195,1294,44702,738,9848,31375,58,2868,4394,258,6536,699,330,1044,5118,1903,622,2005-2009
B03002_19_two_or_more_races,63,223,831,5625,3133,1320,2902,0,175,8214,371,1198,2901,0,247,994,23,918,201,144,0,628,100,53,2005-2009
B03002_20_two_races_including_some_other_race,37,117,418,3457,1792,768,2064,0,175,5027,208,790,1912,0,135,705,23,571,145,144,0,579,61,42,2005-2009
"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",26,106,413,2168,1341,552,838,0,0,3187,163,408,989,0,112,289,0,347,56,0,0,49,39,11,2005-2009
B11005_1_total,29734,48971,81274,344099,297937,250723,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491,2005-2009
B11005_2_households_with_one_or_more_people_under_18_years,12520,20497,31414,124160,110391,55490,18125,1488,6653,133185,8110,40797,57572,902,18445,18983,4637,12170,2460,1407,1984,5270,1712,6923,2005-2009
B11005_3_family_households,12411,20277,31259,123665,109383,54972,18064,1488,6601,132604,8073,40641,57243,892,18307,18884,4581,12111,2460,1393,1949,5248,1693,6862,2005-2009
B11005_4_married-couple_family,9552,13477,24326,94238,61567,21036,13274,1108,5055,106403,6341,34861,42457,581,13174,14521,3325,7829,1957,1099,1031,3607,1204,5318,2005-2009
B11005_5_other_family,2859,6800,6933,29427,47816,33936,4790,380,1546,26201,1732,5780,14786,311,5133,4363,1256,4282,503,294,918,1641,489,1544,2005-2009
"B11005_6_male_householder,_no_wife_present",706,1289,1614,5986,9816,4604,1390,180,507,6384,583,1549,3828,118,1336,1219,303,1029,144,64,162,487,166,475,2005-2009
"B11005_7_female_householder,_no_husband_present",2153,5511,5319,23441,38000,29332,3400,200,1039,19817,1149,4231,10958,193,3797,3144,953,3253,359,230,756,1154,323,1069,2005-2009
B11005_8_nonfamily_households,109,220,155,495,1008,518,61,0,52,581,37,156,329,10,138,99,56,59,0,14,35,22,19,61,2005-2009
B11005_9_male_householder,56,151,137,303,507,224,40,0,41,433,13,87,269,10,125,66,56,20,0,14,35,22,19,48,2005-2009
B11005_10_female_householder,53,69,18,192,501,294,21,0,11,148,24,69,60,0,13,33,0,39,0,0,0,0,0,13,2005-2009
B11005_11_households_with_no_people_under_18_years,17214,28474,49860,219939,187546,195233,72178,3999,9937,235054,14595,50231,66185,2174,22245,20594,9001,50690,5973,2723,6919,6373,2074,12568,2005-2009
B11005_12_family_households,10315,16650,26948,112854,87116,55063,21138,2179,5821,123529,8575,25668,37891,1316,13454,13409,4621,15952,3061,1237,2101,3383,1219,6833,2005-2009
B11005_13_married-couple_family,8786,13483,23146,93180,60010,35108,17595,1972,5055,104588,7679,22598,31320,1223,11606,11656,3959,13088,2379,1040,1589,2871,968,5668,2005-2009
B11005_14_other_family,1529,3167,3802,19674,27106,19955,3543,207,766,18941,896,3070,6571,93,1848,1753,662,2864,682,197,512,512,251,1165,2005-2009
"B11005_15_male_householder,_no_wife_present",429,1059,1245,6838,8407,4773,1467,107,289,7029,327,971,2388,32,598,653,172,1118,350,36,145,211,60,478,2005-2009
"B11005_16_female_householder,_no_husband_present",1100,2108,2557,12836,18699,15182,2076,100,477,11912,569,2099,4183,61,1250,1100,490,1746,332,161,367,301,191,687,2005-2009
B11005_17_nonfamily_households,6899,11824,22912,107085,100430,140170,51040,1820,4116,111525,6020,24563,28294,858,8791,7185,4380,34738,2912,1486,4818,2990,855,5735,2005-2009
B11005_18_male_householder,3312,5413,10811,42879,45218,64412,25718,743,2060,52469,3048,11985,14211,445,4086,3461,2157,15307,1407,637,2032,1262,343,2744,2005-2009
B11005_19_female_householder,3587,6411,12101,64206,55212,75758,25322,1077,2056,59056,2972,12578,14083,413,4705,3724,2223,19431,1505,849,2786,1728,512,2991,2005-2009
B11016_1_total,29734,48971,81274,344099,297937,250723,90303,5487,16590,368239,22705,91028,123757,3076,40690,39577,13638,62860,8433,4130,8903,11643,3786,19491,2005-2009
B11016_2_family_households,22726,36927,58207,236519,196499,110035,39202,3667,12422,256133,16648,66309,95134,2208,31761,32293,9202,28063,5521,2630,4050,8631,2912,13695,2005-2009
B11016_3_2-person_household,8313,14016,22250,91843,73969,53371,19391,1735,4672,97974,6868,21731,30821,1149,11635,10845,4146,15557,2315,1180,2033,2580,987,5717,2005-2009
B11016_4_3-person_household,4794,8986,14098,53779,49922,26548,8724,821,2706,60489,3488,15426,22522,494,7108,7807,2262,6305,1163,465,1090,2215,697,3197,2005-2009
B11016_5_4-person_household,6252,8445,13507,54135,38917,17522,7071,757,2931,60071,3843,18142,22229,435,7413,7680,1745,4022,1182,689,549,1874,646,2980,2005-2009
B11016_6_5-person_household,2231,3725,6223,24546,19676,7527,2430,183,1272,24572,1605,7687,11526,63,3766,3680,705,1289,562,238,311,1204,346,1113,2005-2009
B11016_7_6-person_household,661,1061,1571,7586,7950,2831,1057,151,486,8501,583,2221,4859,34,1344,1348,208,586,219,34,10,333,135,440,2005-2009
B11016_8_7-or-more_person_household,475,694,558,4630,6065,2236,529,20,355,4526,261,1102,3177,33,495,933,136,304,80,24,57,425,101,248,2005-2009
B11016_9_nonfamily_households,7008,12044,23067,107580,101438,140688,51101,1820,4168,112106,6057,24719,28623,868,8929,7284,4436,34797,2912,1500,4853,3012,874,5796,2005-2009
B11016_10_1-person_household,5622,10117,18107,87724,83048,117435,39015,1420,3345,90592,4917,20703,22173,632,7000,6049,3392,29207,2258,1321,4021,2439,663,4376,2005-2009
B11016_11_2-person_household,1140,1542,4219,16122,13445,18532,9087,357,695,16159,1046,3507,5026,191,1640,1110,956,4769,530,159,685,458,131,1170,2005-2009
B11016_12_3-person_household,185,298,551,2498,2882,2917,1877,43,47,3425,69,275,1043,45,179,66,45,686,64,20,115,73,69,166,2005-2009
B11016_13_4-person_household,61,66,64,770,1150,1121,792,0,28,1421,25,168,203,0,48,12,30,129,37,0,32,6,11,48,2005-2009
B11016_14_5-person_household,0,21,115,271,693,462,283,0,42,270,0,37,119,0,62,47,13,6,23,0,0,14,0,0,2005-2009
B11016_15_6-person_household,0,0,11,118,97,143,47,0,11,161,0,0,59,0,0,0,0,0,0,0,0,0,0,36,2005-2009
B11016_16_7-or-more_person_household,0,0,0,77,123,78,0,0,0,78,0,29,0,0,0,0,0,0,0,0,0,22,0,0,2005-2009
