B15002_31_associate's_degree,21206,18081,12188,3588,8756,20389,18398,13074,18020,10778,8112,4956,12363,3241,2514,12460,5056,10813,1880,23386,7169,26171,37576,11828,63466,40624,28877,13958,3523,72032,13917,9134,51778,7154,23333,2012-2016
B15002_32_bachelor's_degree,102395,57496,57717,13462,27165,73679,58112,54974,37876,30950,34876,12244,40843,7929,2317,22136,9109,18842,3375,87176,14194,56438,67217,19209,193523,113378,208612,20557,8070,164204,31079,23127,94724,11286,85068,2012-2016
B15002_33_master's_degree,44621,27435,25498,6584,18701,36238,30194,28306,16272,12750,20352,4699,19308,3253,1297,11239,4304,8984,1931,50740,8918,38285,29272,13918,104206,79471,124263,13686,5732,80184,19954,16473,74192,8683,62987,2012-2016
B15002_34_professional_school_degree,9102,5953,5454,1290,2820,5463,5344,5223,2013,2075,3605,547,4105,561,121,1558,557,1202,248,10202,1169,8091,4707,1493,20014,16582,42926,1921,544,14346,3249,2437,10224,995,14117,2012-2016
B15002_35_doctorate_degree,4741,3473,2535,907,3309,4002,2629,2660,975,1052,2641,351,2205,225,129,1185,462,1041,85,3998,588,5210,2905,1341,8668,6000,20630,974,472,6452,1446,1375,5922,907,6609,2012-2016
B19001_1_total,337069,279480,251693,46935,130129,283279,232868,179734,222609,161534,116456,53648,186890,41454,25813,135363,57127,112819,21135,335209,74339,326487,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,69335,341762,2012-2016
"B19001_2_less_than_$10,000",15972,26169,20443,1344,7726,12444,9466,4751,9713,12444,3277,1363,10108,1421,1143,7534,2828,4644,889,16330,2771,22076,76719,4471,103164,13030,70834,6720,762,54716,13279,4018,17471,3869,17716,2012-2016
"B19001_3_$10,000_to_$14,999",10193,16114,12688,724,4796,8533,7400,3807,9079,7939,2416,1449,6597,1133,1575,6556,2448,4663,855,10291,2210,15066,45398,4235,61462,9832,39354,4847,700,34131,6215,3954,13372,3729,11493,2012-2016
"B19001_4_$15,000_to_$19,999",10182,15067,12822,1233,5198,9217,7041,3972,10780,8296,2408,1440,7574,1349,1473,6784,2643,4821,994,11561,2897,14979,36856,3899,53680,11299,32596,5204,1038,37514,6419,3782,14653,3265,11829,2012-2016
"B19001_5_$20,000_to_$24,999",9921,14627,11879,1089,4872,9936,8807,4702,11363,7544,3110,1658,7723,1809,1550,6541,2517,5363,918,11701,2795,15064,30086,4267,48593,12737,27502,5004,836,38091,6268,3877,15186,3575,12368,2012-2016
"B19001_6_$25,000_to_$29,999",10498,14226,10420,1089,4317,9447,8174,4026,10380,7135,3050,1563,7225,1681,1310,6463,2985,5025,896,11283,2573,12952,27848,4305,43708,12600,23958,4571,923,35433,5717,2924,15110,3344,11355,2012-2016
"B19001_7_$30,000_to_$34,999",11091,12412,10053,1087,5168,9787,7856,4629,10336,7053,2859,1640,7492,1731,1464,6476,2680,5326,811,10598,2796,14139,26839,4239,43343,11436,25199,5009,1196,35662,5491,3249,14653,3850,11154,2012-2016
"B19001_8_$35,000_to_$39,999",10042,11068,9446,945,4880,10463,6282,4710,10040,6128,2893,1600,7813,1292,1361,6163,3084,4696,1138,10645,2641,13861,24339,4116,39577,11587,21795,4841,953,32955,5520,3018,13879,2564,10804,2012-2016
"B19001_9_$40,000_to_$44,999",10181,11092,9273,1214,4394,9351,7177,4505,9105,6878,3526,1704,7114,1793,1432,6255,2722,5043,839,10465,2957,13365,22364,3929,39911,12231,21027,4461,781,33772,5323,2899,15283,2858,10601,2012-2016
"B19001_10_$45,000_to_$49,999",9548,9500,8614,1173,3154,8371,6340,4263,8526,5407,3032,1556,6045,1634,1371,6226,2183,4823,1158,9961,2807,11787,18635,3502,30698,11333,18000,4141,680,29130,4612,2988,13577,2325,9005,2012-2016
"B19001_11_$50,000_to_$59,999",20062,18505,18408,2510,8571,18659,14234,10273,16574,10248,6175,3673,12863,3556,2523,10985,4929,9521,1893,18928,5376,23189,34602,7432,63296,22041,39689,8232,1992,59360,10035,5698,28857,5061,20000,2012-2016
"B19001_12_$60,000_to_$74,999",28055,23438,22058,3688,12800,26432,18568,14113,22809,13477,9067,5010,18147,4018,3198,14746,6654,11820,2269,27205,8133,30600,39721,10478,83124,33615,54943,11634,2855,80020,15134,7505,43335,7416,26088,2012-2016
"B19001_13_$75,000_to_$99,999",40265,27896,28234,5286,15663,38658,28457,23084,28132,19117,14638,8118,22358,5544,3629,17799,7560,16138,3239,37893,10779,39821,44111,14914,102042,53371,73110,16423,4810,101760,21431,12141,64319,8983,36537,2012-2016
"B19001_14_$100,000_to_$124,999",34742,20847,22575,5202,12661,31832,24592,20662,22765,15463,13540,7303,17751,4874,1661,12081,5974,11716,2007,30828,8581,30931,26552,11668,71598,49331,60461,14125,3676,71846,18671,10803,57720,6550,32523,2012-2016
"B19001_15_$125,000_to_$149,999",26916,13752,14390,4177,8761,23224,18696,15363,14600,9961,9524,4462,12083,3139,964,7254,2982,6639,904,24069,5673,21500,14395,8064,45686,40353,42456,9954,3717,45511,13258,7734,42038,4180,23585,2012-2016
"B19001_16_$150,000_to_$199,999",38150,17166,18248,6828,11300,27692,25657,22171,16334,12747,13969,6160,15018,3396,752,7267,2891,6892,1422,30571,6211,24544,12865,9327,51032,57488,60184,11004,4441,51350,15675,10846,58107,4231,34062,2012-2016
"B19001_17_$200,000_or_more",51251,27601,22142,9346,15868,29233,34121,34703,12073,11697,22972,4949,20979,3084,407,6233,2047,5689,903,62880,5139,22613,9410,8103,57889,77946,142277,8974,4742,38053,12966,13602,62198,3535,62642,2012-2016
B19013_1_median_household_income_in_the_past_12_months_(in_2016_inflation-adjusted_dollars),88487,54860,60894,108177,73966,80716,87297,102798,63108,61664,102405,87388,70476,72999,50822,57685,58980,62753,61199,86670,73519,62715,35302,72706,50640,102044,75513,71910,97606,59758,74021,86134,90128,60393,86226,2012-2016
B25001_1_total,354772,314384,276087,49875,144171,298832,260222,191081,280508,176639,125232,62236,201107,45321,34387,143538,80675,121207,38506,364737,87450,362497,522401,119023,1021747,467127,866644,139757,38321,846689,178603,104651,570464,83762,369925,2012-2016
B25003_1_total,337069,279480,251693,46935,130129,283279,232868,179734,222609,161534,116456,53648,186890,41454,25813,135363,57127,112819,21135,335209,74339,326487,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,69335,341762,2012-2016
B25003_2_owner_occupied,218041,123300,77459,39122,83401,180794,171673,135369,178376,85909,88257,44474,109931,29861,20138,89060,44224,80275,17793,226707,57013,203568,93569,73505,276447,353420,174361,85306,27961,341363,114502,68276,389182,48343,210004,2012-2016
B25003_3_renter_occupied,119028,156180,174234,7813,46728,102485,61195,44365,44233,75625,28199,9174,76959,11593,5675,46303,12903,32544,3342,108502,17326,122919,397171,33444,662356,86810,579024,39838,6141,437941,51512,30762,100576,20992,131758,2012-2016
B25024_1_total,354772,314384,276087,49875,144171,298832,260222,191081,280508,176639,125232,62236,201107,45321,34387,143538,80675,121207,38506,364737,87450,362497,522401,119023,1021747,467127,866644,139757,38321,846689,178603,104651,570464,83762,369925,2012-2016
"B25024_2_1,_detached",189130,103048,27447,37637,70669,157187,171849,127622,212245,73587,73041,49320,103935,29920,24335,69297,66295,72463,35019,211004,64614,194120,29088,75678,54359,353476,7721,86433,30108,160355,62116,60069,456505,58275,164678,2012-2016
"B25024_3_1,_attached",18174,17941,15955,4763,31533,33935,20204,15092,25867,9235,19848,3354,9004,4616,5592,36189,5477,22896,917,25211,3308,17822,24446,6098,87014,13952,6150,9372,2522,73100,44973,8471,25390,2250,20573,2012-2016
B25024_4_2,50887,47845,63787,1744,7290,20661,8972,7306,8717,39950,6716,1633,33553,2509,831,6307,1229,5354,431,31848,6446,35034,48300,7655,182124,32942,9192,9429,1626,173759,41549,6687,22112,5837,32118,2012-2016
B25024_5_3_or_4,21720,54361,39663,1596,5616,16274,8657,6510,5920,16603,5857,1580,16201,1648,867,7981,1750,5012,321,29892,4910,40673,47008,8625,176243,9835,19230,9584,1238,96398,6482,8209,12657,3937,30595,2012-2016
B25024_6_5_to_9,12728,18358,30785,1126,5884,17630,10873,5999,5837,11310,5402,2674,7987,2509,634,7023,1499,4178,210,16401,3396,21680,18946,7631,110880,6782,46637,9140,1133,47999,2930,7618,16665,3673,18645,2012-2016
B25024_7_10_to_19,13612,16120,22190,1699,10716,26602,12741,10722,6073,8381,6904,1369,7232,2125,207,6127,557,2757,95,12249,2092,15206,27638,3703,58172,9602,97324,6284,562,31815,2664,4089,13355,1903,15435,2012-2016
B25024_8_20_to_49,15323,20110,26156,604,4308,11809,7380,8852,3958,6726,3027,473,10744,677,310,2569,601,2040,96,12254,1140,15220,128958,2201,131920,12462,202354,2344,556,84314,4192,3397,8408,1152,27266,2012-2016
B25024_9_50_or_more,31908,36287,49528,524,7707,12565,16488,8386,5638,10357,4256,799,11952,796,220,4915,356,3433,160,24495,1188,20418,196669,3249,218964,27189,476828,3818,329,177283,13200,4794,10375,1324,59881,2012-2016
B25024_10_mobile_home,1190,278,443,182,424,2143,3039,550,6224,443,173,1034,280,521,1391,3130,2886,2984,1249,1349,307,2243,636,4176,1434,829,624,3353,230,1353,458,1302,4856,5372,622,2012-2016
"B25024_11_boat,_rv,_van,_etc.",100,36,133,0,24,26,19,42,29,47,8,0,219,0,0,0,25,90,8,34,49,81,712,7,637,58,584,0,17,313,39,15,141,39,112,2012-2016
B25077_1_median_value_(dollars),443400,356300,341300,389500,277400,324500,387500,428900,264200,333400,404100,265600,347500,254400,141300,192300,170600,207700,180600,413400,249500,244000,363600,274300,590500,451700,871500,258700,354800,462300,448000,420700,376000,219800,507300,2012-2016
B25034_1_total,354772,314384,276087,49875,144171,298832,260222,191081,280508,176639,125232,62236,201107,45321,34387,143538,80675,121207,38506,364737,87450,362497,522401,119023,1021747,467127,866644,139757,38321,846689,178603,104651,570464,83762,369925,2012-2016
B25034_2_built_2014_or_later,961,626,1137,61,298,914,823,428,1841,308,527,98,417,60,35,323,103,339,28,1168,41,437,457,182,1382,599,1223,450,28,1162,194,179,980,120,423,2012-2016
B25034_3_built_2010_to_2013,3448,3083,5114,284,1463,3992,3570,1972,4636,1566,2010,381,1971,328,222,2299,647,1372,343,5567,535,2822,6638,1130,12365,3080,10700,2398,389,7542,1718,1510,3395,1077,2653,2012-2016
B25034_4_built_2000_to_2009,21648,23316,35260,4488,13030,26509,27393,15605,40051,9702,12075,5754,12526,4789,3642,16176,14868,14901,7705,25497,6615,20163,27747,12480,57867,16431,62503,16535,2811,43889,16610,7913,44100,7708,19547,2012-2016
B25034_5_built_1990_to_1999,20655,17582,16344,7936,12978,30822,30864,23899,37107,9966,22487,5912,9360,6102,3111,13961,14232,13256,5996,24556,7843,26304,18792,10552,28274,13256,32863,13699,3668,24483,19151,9107,49721,7042,18343,2012-2016
B25034_6_built_1980_to_1989,27448,18963,17472,9798,16508,49439,38896,23296,51049,11266,24419,9944,11072,5073,5641,14313,17206,12178,9023,41834,12302,44663,17762,17201,30673,20987,55651,19121,5315,29866,26164,10855,59672,9694,28352,2012-2016
B25034_7_built_1970_to_1979,32775,27958,25140,7241,15454,39116,35012,27687,56563,16933,13724,12070,14250,6118,4104,19637,12858,14099,6627,47574,12757,47516,42422,18441,54138,26771,70690,18271,6248,49348,30438,19579,102827,9917,34209,2012-2016
B25034_8_built_1960_to_1969,53867,37694,27417,4234,18543,48471,37943,30069,39400,28722,16301,8964,26617,4699,2271,15335,5902,10780,3048,53446,9184,45359,68792,16229,112285,60709,108887,14773,5361,116394,24176,23674,118303,9709,51754,2012-2016
B25034_9_built_1950_to_1959,80968,52817,27754,4375,22808,53279,34934,29811,27553,37561,13794,7619,47031,4664,1943,19102,4255,14895,2206,59084,10691,54533,74361,15754,110555,168638,83736,13940,4885,175045,17655,13993,105646,11308,70955,2012-2016
B25034_10_built_1940_to_1949,41152,36505,22465,2015,10304,17143,12779,11390,9567,26297,6166,3198,30171,2219,1669,8399,2450,6412,757,28368,5378,26003,61296,5958,91213,62821,63188,6462,3241,136631,7322,4020,29352,4657,29217,2012-2016
B25034_11_built_1939_or_earlier,71850,95840,97984,9443,32785,29147,38008,26924,12741,34318,13729,8296,47692,11269,11749,33993,8154,32975,2773,77643,22104,94697,204134,21096,522995,93835,377203,34108,6375,262329,35175,13821,56468,22530,114472,2012-2016
B25127_1_total,337069,279480,251693,46935,130129,283279,232868,179734,222609,161534,116456,53648,186890,41454,25813,135363,57127,112819,21135,335209,74339,326487,490740,106949,938803,440230,753385,125144,34102,779304,166014,99038,489758,69335,341762,2012-2016
B25127_2_owner_occupied,218041,123300,77459,39122,83401,180794,171673,135369,178376,85909,88257,44474,109931,29861,20138,89060,44224,80275,17793,226707,57013,203568,93569,73505,276447,353420,174361,85306,27961,341363,114502,68276,389182,48343,210004,2012-2016
B25127_3_built_2010_or_later,2150,850,1225,235,712,2553,2525,1714,3653,673,1487,212,608,173,166,1493,526,1130,272,2455,354,1509,479,656,2714,2067,1391,1279,272,2372,1181,712,2350,457,1007,2012-2016
"B25127_4_1,_detached__or_attached",1779,612,199,235,641,2340,2294,1443,3547,361,1406,168,482,96,166,1429,526,1054,272,2298,354,1238,79,523,289,1709,100,1072,256,802,877,391,2223,429,902,2012-2016
B25127_5_2_to_4,111,102,185,0,31,12,25,12,62,22,0,16,56,27,0,13,0,0,0,57,0,70,110,31,577,79,0,24,0,579,245,41,18,0,39,2012-2016
B25127_6_5_to_19,128,52,195,0,17,63,64,65,27,155,12,23,36,0,0,0,0,0,0,70,0,107,37,31,730,116,135,123,16,186,17,118,74,7,2,2012-2016
B25127_7_20_to_49,105,35,142,0,23,67,62,64,0,67,63,0,25,0,0,7,0,5,0,12,0,16,49,49,451,70,287,25,0,257,21,35,18,0,26,2012-2016
B25127_8_50_or_more,27,49,504,0,0,16,0,112,0,58,6,0,9,0,0,0,0,14,0,18,0,8,197,0,667,93,861,0,0,548,21,28,0,0,38,2012-2016
"B25127_9_mobile_home,_boat,_rv,_van,_etc.",0,0,0,0,0,55,80,18,17,10,0,5,0,50,0,44,0,57,0,0,0,70,7,22,0,0,8,35,0,0,0,99,17,21,0,2012-2016
B25127_10_built_2000_to_2009,11587,6301,9721,3550,8051,15352,17716,11113,25990,4951,8901,4370,4344,3683,2297,11776,8750,12171,3871,14449,5413,12800,4274,7772,17831,10301,11499,11346,2116,12477,11225,3772,25127,4955,9460,2012-2016
"B25127_11_1,_detached__or_attached",8732,4002,2006,3436,7310,13472,15567,8738,24915,3141,8082,4063,3074,3263,2075,11057,8544,11602,3768,12646,5249,11650,1331,7231,2668,7537,579,10164,2004,3939,8492,2953,22815,4213,7381,2012-2016
B25127_12_2_to_4,848,1512,1675,35,68,250,196,104,147,393,148,69,892,12,0,42,0,91,5,398,98,289,2308,95,5333,771,335,136,0,5348,2646,187,856,108,511,2012-2016
B25127_13_5_to_19,389,437,1174,15,287,455,869,237,121,432,259,119,136,299,0,47,32,48,0,560,45,434,120,101,4373,1249,1011,522,65,700,26,233,782,27,160,2012-2016
B25127_14_20_to_49,428,162,905,48,174,517,224,921,80,354,288,19,156,61,0,0,7,13,0,207,17,130,261,93,2570,376,1849,6,17,955,9,127,55,9,368,2012-2016
B25127_15_50_or_more,1140,172,3915,0,123,496,640,1078,0,621,115,25,65,0,0,0,0,43,18,576,0,29,254,23,2836,322,7588,18,0,1433,12,172,248,25,1030,2012-2016
"B25127_16_mobile_home,_boat,_rv,_van,_etc.",50,16,46,16,89,162,220,35,727,10,9,75,21,48,222,630,167,374,80,62,4,268,0,229,51,46,137,500,30,102,40,100,371,573,10,2012-2016
B25127_17_built_1980_to_1999,27186,11843,8461,14873,19820,47711,51246,33105,61749,11662,34361,11772,7820,8531,4678,19701,18090,19334,7204,42764,14664,43755,6877,18682,15861,22524,16351,22282,7036,16677,33281,13434,66426,10751,29276,2012-2016
"B25127_18_1,_detached__or_attached",19173,8121,2545,13575,17431,40243,45877,29095,58630,9096,30090,10807,6039,8022,4332,18162,17019,17932,6972,34850,13325,36071,2842,16247,6980,18007,1142,19194,6592,5523,26958,11789,62303,8826,23978,2012-2016
B25127_19_2_to_4,2078,2026,2580,342,258,1557,866,727,453,742,942,200,1060,117,0,131,55,88,14,2089,242,1943,2826,590,5768,1496,169,728,192,6123,4721,518,1727,94,1183,2012-2016
B25127_20_5_to_19,2583,896,1141,899,1769,4235,2482,2344,812,862,2869,670,429,261,0,168,114,139,5,3312,815,3350,323,386,1616,1126,991,1367,149,1148,479,618,1129,63,1164,2012-2016
B25127_21_20_to_49,885,271,776,30,253,518,461,494,144,413,325,8,89,0,0,51,29,32,0,1275,67,948,381,18,519,764,1866,59,12,927,565,170,150,4,712,2012-2016
B25127_22_50_or_more,2306,508,1335,24,71,481,758,276,134,503,95,24,203,0,0,30,0,68,0,893,99,789,442,15,773,917,12137,60,41,2680,465,34,230,17,2150,2012-2016
"B25127_23_mobile_home,_boat,_rv,_van,_etc.",161,21,84,3,38,677,802,169,1576,46,40,63,0,131,346,1159,873,1075,213,345,116,654,63,1426,205,214,46,874,50,276,93,305,887,1747,89,2012-2016
B25127_24_built_1960_to_1979,49139,19028,13802,9199,19739,50397,46584,39423,60787,21831,21431,15930,20142,6592,3909,19709,9649,16985,3922,67968,14661,53468,25854,21724,37616,59995,45170,21643,8754,56267,34427,29824,160876,11150,45514,2012-2016
"B25127_25_1,_detached__or_attached",37787,14399,4874,8904,18569,46611,42928,37783,56538,17690,20479,15387,17449,6370,3638,18574,9025,16199,3811,59304,13867,46454,6113,19278,9976,51113,1046,19655,8281,21056,26285,25453,151636,9869,31178,2012-2016
B25127_26_2_to_4,3928,2966,5365,79,230,1544,538,341,1909,2996,270,191,1937,18,1,122,0,93,0,2799,238,2655,5082,623,13895,2470,452,470,162,14878,6468,1608,3368,244,3174,2012-2016
B25127_27_5_to_19,819,588,538,186,589,1230,1504,772,347,592,545,174,237,94,0,234,0,26,0,2678,395,2817,238,698,675,1169,857,754,204,1231,373,1788,2953,34,2044,2012-2016
B25127_28_20_to_49,649,173,472,8,160,124,342,232,50,186,29,0,235,0,0,38,0,11,0,1030,76,772,1712,32,1102,1045,3264,97,8,2491,240,281,562,0,1867,2012-2016
B25127_29_50_or_more,5671,854,2486,13,99,217,693,92,98,183,77,31,238,12,0,21,0,0,11,1737,36,402,12631,79,11866,3939,39389,79,44,16473,953,452,660,7,7180,2012-2016
"B25127_30_mobile_home,_boat,_rv,_van,_etc.",285,48,67,9,92,671,579,203,1845,184,31,147,46,98,270,720,624,656,100,420,49,368,78,1014,102,259,162,588,55,138,108,242,1697,996,71,2012-2016
B25127_31_built_1940_to_1959,80384,38886,14760,4777,20168,47460,32382,32389,20000,31423,13951,7384,48310,4386,2300,17759,3630,13139,1150,59368,10791,53266,29021,14463,58051,189362,25930,13164,6021,140658,14187,12547,100394,9868,62123,2012-2016
"B25127_32_1,_detached__or_attached",71660,31746,7188,4718,19529,45749,31292,31687,19155,26636,13559,7317,44495,4346,2269,17554,3547,12968,1115,54567,10207,51201,12680,13776,24537,179983,1452,12803,5815,79264,11960,11748,98145,9573,45528,2012-2016
B25127_33_2_to_4,6175,6185,5594,31,468,1263,442,508,681,4133,328,51,3500,4,14,89,54,115,11,2604,467,1462,6576,569,17936,4377,329,265,183,28772,1732,413,1539,234,5160,2012-2016
B25127_34_5_to_19,543,357,484,8,113,213,313,66,64,316,55,0,189,0,0,65,0,9,16,1142,80,275,458,35,1336,1327,871,65,0,3538,105,77,185,8,2012,2012-2016
B25127_35_20_to_49,800,199,769,0,14,115,47,0,44,117,0,0,20,0,0,0,0,0,0,300,0,88,1662,13,2583,1375,3953,0,0,7597,24,133,143,16,2683,2012-2016
B25127_36_50_or_more,1094,399,680,9,28,46,255,97,14,200,9,0,73,0,0,31,8,0,0,710,11,167,7620,40,11539,2219,19325,7,23,21320,337,112,293,8,6706,2012-2016
"B25127_37_mobile_home,_boat,_rv,_van,_etc.",112,0,45,11,16,74,33,31,42,21,0,16,33,36,17,20,21,47,8,45,26,73,25,30,120,81,0,24,0,167,29,64,89,29,34,2012-2016
B25127_38_built_1939_or_earlier,47595,46392,29490,6488,14911,17321,21220,17625,6197,15369,8126,4806,28707,6496,6788,18622,3579,17516,1374,39703,11130,38770,27064,10208,144374,69171,74020,15592,3762,112912,20201,7987,34009,11162,62624,2012-2016
"B25127_39_1,_detached__or_attached",40537,37638,12438,6159,14342,15593,20273,16832,5823,11375,7382,4664,24927,6170,6712,18060,3479,17120,1356,32673,9551,29743,12853,9198,63213,64608,4978,13968,3667,73377,16180,7128,31991,10443,48490,2012-2016
B25127_40_2_to_4,6141,8122,12694,310,508,1593,681,712,272,3781,744,83,3584,316,60,527,100,336,18,5569,1482,8448,9924,866,61661,3028,3731,1505,77,28595,3684,747,1491,586,7984,2012-2016
B25127_41_5_to_19,217,268,2290,9,61,21,124,20,59,114,0,54,48,0,16,15,0,51,0,730,44,317,528,73,7297,310,11760,57,8,2334,33,32,166,106,1046,2012-2016
B25127_42_20_to_49,264,194,909,0,0,47,66,33,13,45,0,0,68,0,0,0,0,0,0,141,7,178,1243,15,4355,509,20168,4,10,2353,46,57,92,0,2035,2012-2016
B25127_43_50_or_more,397,170,1120,10,0,17,66,3,13,40,0,5,44,0,0,8,0,9,0,480,24,73,2475,38,7514,660,33312,14,0,6212,223,23,257,27,3039,2012-2016
"B25127_44_mobile_home,_boat,_rv,_van,_etc.",39,0,39,0,0,50,10,25,17,14,0,0,36,10,0,12,0,0,0,110,22,11,41,18,334,56,71,44,0,41,35,0,12,0,30,2012-2016
B25127_45_renter_occupied,119028,156180,174234,7813,46728,102485,61195,44365,44233,75625,28199,9174,76959,11593,5675,46303,12903,32544,3342,108502,17326,122919,397171,33444,662356,86810,579024,39838,6141,437941,51512,30762,100576,20992,131758,2012-2016
B25127_46_built_2010_or_later,2127,2298,4458,100,899,2218,1276,607,1372,927,833,163,1419,215,36,1019,136,558,30,3722,173,1572,6295,527,9922,1263,9303,1341,145,5457,632,907,942,647,1946,2012-2016
"B25127_47_1,_detached__or_attached",344,136,101,37,112,247,206,54,493,74,66,14,140,33,20,243,69,150,30,466,22,144,128,93,173,258,2,197,0,181,86,88,206,15,141,2012-2016
B25127_48_2_to_4,426,788,556,0,80,382,97,35,41,384,135,42,440,29,0,209,43,4,0,556,24,215,496,172,1632,150,118,180,47,1101,174,278,93,165,243,2012-2016
B25127_49_5_to_19,166,358,644,33,381,835,349,164,396,279,156,67,262,47,11,287,0,193,0,319,79,251,629,91,1768,142,687,556,51,792,52,373,259,86,394,2012-2016
B25127_50_20_to_49,286,304,523,30,208,299,280,55,86,47,129,29,152,106,5,139,24,55,0,241,48,92,1391,121,1721,160,1134,265,47,646,66,27,156,223,376,2012-2016
B25127_51_50_or_more,905,712,2626,0,118,422,329,299,340,143,347,7,425,0,0,53,0,109,0,2055,0,814,3651,41,4619,538,7338,143,0,2721,254,114,228,144,792,2012-2016
"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,0,8,0,0,33,15,0,16,0,0,4,0,0,0,88,0,47,0,85,0,56,0,9,9,15,24,0,0,16,0,27,0,14,0,2012-2016
B25127_53_built_2000_to_2009,8045,13448,21029,643,3883,10247,6321,3720,7323,3708,2477,511,6780,780,259,3817,1992,2037,572,8613,533,5510,21501,3707,34372,4620,37749,4037,402,25098,4140,3727,10908,1439,8212,2012-2016
"B25127_54_1,_detached__or_attached",1197,2580,1165,195,640,1691,1345,725,3422,499,668,255,748,176,182,1139,1090,712,428,2016,164,1048,1137,684,777,831,179,895,51,1212,1503,559,2258,384,886,2012-2016
B25127_55_2_to_4,1398,6343,5530,62,325,2518,645,408,654,1507,385,20,3131,147,0,627,242,181,53,1510,91,1183,4899,879,11275,879,1022,578,58,12055,1938,1169,2057,271,1529,2012-2016
B25127_56_5_to_19,1153,1677,2442,87,1092,2445,1317,888,1647,694,559,83,912,275,14,1309,386,538,0,1457,135,1265,2504,1094,8712,601,3135,1500,25,4129,250,1095,3391,254,907,2012-2016
B25127_57_20_to_49,709,801,1856,56,732,1519,468,428,383,241,314,34,882,88,63,320,142,92,0,959,69,969,4147,283,4873,350,4216,228,229,2283,75,285,1067,149,856,2012-2016
B25127_58_50_or_more,3531,2012,9973,243,1070,2049,2368,1271,1147,755,551,113,1107,83,0,390,17,504,88,2664,74,1034,8752,670,8616,1944,29181,691,24,5387,374,536,2102,221,4034,2012-2016
"B25127_59_mobile_home,_boat,_rv,_van,_etc.",57,35,63,0,24,25,178,0,70,12,0,6,0,11,0,32,115,10,3,7,0,11,62,97,119,15,16,145,15,32,0,83,33,160,0,2012-2016
B25127_60_built_1980_to_1999,18537,21157,22907,2157,8074,28166,13649,11480,12752,8267,9709,2156,11549,2014,853,7683,3307,5096,974,19129,2928,21312,27308,6655,39531,9281,58284,7692,1263,33370,10270,5632,22795,3490,14251,2012-2016
"B25127_61_1,_detached__or_attached",2374,3054,1851,796,2208,4978,3511,2182,6023,1260,3139,824,1002,517,493,2059,2157,1693,798,3831,862,3194,1696,1184,2564,1871,312,1590,486,2489,3156,1151,7564,981,2325,2012-2016
B25127_62_2_to_4,5571,7571,7229,365,1214,4347,2319,2085,1506,3314,1784,419,4253,330,97,1417,359,552,82,5386,689,5774,6220,1801,12786,3197,1560,1990,397,14717,4964,1347,4435,772,3307,2012-2016
B25127_63_5_to_19,3786,3500,4679,583,2351,12985,3617,3422,2702,1593,2770,652,2225,924,36,2387,417,924,20,3840,871,5775,3361,2316,9701,1219,7231,2792,308,5186,675,1552,6532,902,2517,2012-2016
B25127_64_20_to_49,2377,2325,2405,177,631,2334,954,1492,791,696,712,82,1906,93,77,456,152,693,27,2245,298,2949,6566,330,5352,904,8248,466,27,3537,308,500,1950,208,1417,2012-2016
B25127_65_50_or_more,4339,4700,6651,148,1622,3475,3088,2293,1587,1399,1273,166,2091,144,93,1245,24,1043,33,3784,186,3581,9367,529,8917,2056,40868,629,17,7286,1148,955,2186,138,4586,2012-2016
"B25127_66_mobile_home,_boat,_rv,_van,_etc.",90,7,92,88,48,47,160,6,143,5,31,13,72,6,57,119,198,191,14,43,22,39,98,495,211,34,65,225,28,155,19,127,128,489,99,2012-2016
B25127_67_built_1960_to_1979,33572,39865,34902,1810,11651,32244,20283,15237,14941,20134,6739,2759,18607,3435,948,13762,3487,6691,935,26416,4511,32086,80085,9999,118426,21510,115841,8621,1750,97088,16484,11402,34761,5411,33618,2012-2016
"B25127_68_1,_detached__or_attached",4835,2590,2230,652,2318,4806,3635,2229,7730,1718,1245,1251,1703,804,486,3368,1955,2285,586,6211,1279,5188,2646,2174,3698,4948,706,1966,755,5884,2818,2442,16688,1542,3693,2012-2016
B25127_69_2_to_4,13447,12415,12422,419,1907,8558,4094,2802,2023,9644,1843,520,7144,527,96,2703,551,1412,115,8702,1114,9169,11342,2913,31223,6109,2573,2214,455,32003,6996,3314,6619,1300,8702,2012-2016
B25127_70_5_to_19,6616,8226,8135,551,4726,12803,6333,5722,2545,4321,2359,701,3477,1474,214,4992,338,1628,94,4354,1261,7515,6854,2767,18109,3099,12892,2978,353,11050,1454,3257,7075,1591,5842,2012-2016
B25127_71_20_to_49,2936,4804,3795,143,718,2745,1814,2952,1067,1510,368,104,2721,259,34,704,107,308,42,2291,298,3413,17541,627,16159,2030,18837,439,122,10957,986,1006,1846,200,4764,2012-2016
B25127_72_50_or_more,5519,11772,8296,45,1930,3207,4203,1507,1069,2833,877,170,3429,326,63,1871,182,863,10,4778,484,6618,41412,1025,48997,5240,80660,766,65,36974,4209,1318,2072,324,10617,2012-2016
"B25127_73_mobile_home,_boat,_rv,_van,_etc.",219,58,24,0,52,125,204,25,507,108,47,13,133,45,55,124,354,195,88,80,75,183,290,493,240,84,173,258,0,220,21,65,461,454,0,2012-2016
