estimate_year,index,MD_009,MD_017,MD_021,MD_031,MD_033,DC_001,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WV_037
2013-2017,B25127_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B25127_2_owner_occupied,26241,42505,67295,242295,189513,115795,45525,4176,12272,266707,18803,94437,100948,2354,33482,34377,10887,29576,5949,3178,3746,7979,3224,15420
2013-2017,B25127_3_built_2010_or_later,1143,2654,2905,5393,5138,2061,1361,80,528,4270,562,12005,5411,77,1491,2747,258,649,115,137,391,244,54,631
2013-2017,"B25127_4_1,_detached__or_attached",1143,2642,2873,5031,5016,1256,1112,80,528,3758,562,11309,5200,77,1418,2725,258,505,115,129,383,195,54,611
2013-2017,B25127_5_2_to_4,0,0,12,151,10,203,0,0,0,54,0,112,69,0,0,6,0,26,0,0,0,0,0,0
2013-2017,B25127_6_5_to_19,0,0,15,102,0,123,89,0,0,39,0,331,94,0,0,11,0,18,0,0,0,24,0,0
2013-2017,B25127_7_20_to_49,0,0,5,80,69,276,85,0,0,181,0,199,38,0,0,0,0,42,0,0,8,25,0,0
2013-2017,B25127_8_50_or_more,0,0,0,29,6,203,75,0,0,147,0,25,6,0,0,0,0,54,0,8,0,0,0,0
2013-2017,"B25127_9_mobile_home,_boat,_rv,_van,_etc.",0,12,0,0,37,0,0,0,0,91,0,29,4,0,73,5,0,4,0,0,0,0,0,20
2013-2017,B25127_10_built_2000_to_2009,5412,9159,12768,23198,23365,9406,5088,933,3767,25981,4506,34263,31219,389,10243,9181,2148,3299,682,381,790,562,547,4629
2013-2017,"B25127_11_1,_detached__or_attached",5284,9015,12012,18376,22085,2632,1812,933,3660,21976,4364,32160,30183,389,9951,8934,2126,1597,592,159,746,562,439,4522
2013-2017,B25127_12_2_to_4,0,12,25,335,19,255,15,0,15,184,0,114,111,0,37,16,0,45,26,0,0,0,0,0
2013-2017,B25127_13_5_to_19,67,51,465,868,294,593,233,0,0,897,37,800,241,0,7,42,0,192,0,0,0,0,8,0
2013-2017,B25127_14_20_to_49,16,9,63,880,492,1258,180,0,0,556,8,350,257,0,0,10,0,275,0,0,44,0,88,0
2013-2017,B25127_15_50_or_more,27,16,141,2721,319,4668,2848,0,0,2103,15,681,186,0,0,0,0,1190,64,222,0,0,0,0
2013-2017,"B25127_16_mobile_home,_boat,_rv,_van,_etc.",18,56,62,18,156,0,0,0,92,265,82,158,241,0,248,179,22,0,0,0,0,0,12,107
2013-2017,B25127_17_built_1980_to_1999,12111,16786,26987,82941,57363,5598,7714,950,4333,106696,7417,34534,37260,700,16010,15152,3936,5959,804,286,393,4274,1236,4801
2013-2017,"B25127_18_1,_detached__or_attached",11850,16582,25464,72921,54499,3225,4334,933,4112,94237,7141,32059,35087,700,15102,14528,3878,3763,738,259,370,3816,1236,4394
2013-2017,B25127_19_2_to_4,0,8,77,656,212,295,125,0,0,919,49,254,299,0,25,0,0,163,21,0,6,50,0,33
2013-2017,B25127_20_5_to_19,69,17,1074,4899,1693,558,327,0,10,6713,65,1642,1228,0,0,75,0,444,20,27,17,369,0,0
2013-2017,B25127_21_20_to_49,6,11,104,826,196,497,321,0,0,1103,0,127,0,0,3,0,0,170,17,0,0,23,0,0
2013-2017,B25127_22_50_or_more,45,0,77,3501,160,1023,2594,0,0,3013,0,241,97,0,31,0,0,1410,8,0,0,0,0,0
2013-2017,"B25127_23_mobile_home,_boat,_rv,_van,_etc.",141,168,191,138,603,0,13,17,211,711,162,211,549,0,849,549,58,9,0,0,0,16,0,374
2013-2017,B25127_24_built_1960_to_1979,5329,10575,13507,70808,57666,13242,6765,1163,2285,92846,3692,9221,22925,530,4471,5534,2450,7375,2138,605,695,2366,434,3094
2013-2017,"B25127_25_1,_detached__or_attached",5297,10262,13229,60933,53745,6084,3667,1154,2216,83792,3645,8853,22082,530,4196,5312,2354,3109,1892,455,695,2259,391,2720
2013-2017,B25127_26_2_to_4,0,41,3,483,230,611,112,9,0,703,17,20,54,0,0,0,0,63,0,0,0,5,39,9
2013-2017,B25127_27_5_to_19,6,0,130,3533,2517,1228,380,0,0,4260,0,185,359,0,0,38,0,802,206,37,0,35,0,0
2013-2017,B25127_28_20_to_49,0,0,12,1152,228,478,325,0,0,826,0,28,0,0,0,0,0,182,6,24,0,0,0,0
2013-2017,B25127_29_50_or_more,0,12,17,4523,682,4841,2281,0,0,2915,0,47,35,0,10,54,0,3219,34,89,0,6,4,0
2013-2017,"B25127_30_mobile_home,_boat,_rv,_van,_etc.",26,260,116,184,264,0,0,0,69,350,30,88,395,0,265,130,96,0,0,0,0,61,0,365
2013-2017,B25127_31_built_1940_to_1959,1489,2511,4391,46942,37344,27167,17755,374,701,34219,1297,2244,3389,178,705,1253,1381,8031,2071,1410,605,365,953,840
2013-2017,"B25127_32_1,_detached__or_attached",1489,2480,4391,45652,36338,21213,14757,374,692,33026,1297,2201,3372,178,705,1240,1381,6451,2059,1392,597,318,953,804
2013-2017,B25127_33_2_to_4,0,8,0,167,191,639,894,0,0,253,0,0,0,0,0,0,0,320,0,0,0,6,0,36
2013-2017,B25127_34_5_to_19,0,14,0,565,587,1784,1331,0,0,720,0,15,12,0,0,13,0,1014,5,0,0,8,0,0
2013-2017,B25127_35_20_to_49,0,5,0,116,89,900,218,0,0,77,0,0,0,0,0,0,0,50,0,0,8,8,0,0
2013-2017,B25127_36_50_or_more,0,0,0,427,106,2623,541,0,9,114,0,0,0,0,0,0,0,196,7,18,0,0,0,0
2013-2017,"B25127_37_mobile_home,_boat,_rv,_van,_etc.",0,4,0,15,33,8,14,0,0,29,0,28,5,0,0,0,0,0,0,0,0,25,0,0
2013-2017,B25127_38_built_1939_or_earlier,757,820,6737,13013,8637,58321,6842,676,658,2695,1329,2170,744,480,562,510,714,4263,139,359,872,168,0,1425
2013-2017,"B25127_39_1,_detached__or_attached",743,820,6613,12748,8400,45903,6685,676,650,2628,1329,2149,744,479,540,459,714,4036,119,359,841,168,0,1406
2013-2017,B25127_40_2_to_4,14,0,97,86,35,2956,29,0,8,22,0,8,0,0,15,0,0,75,0,0,17,0,0,11
2013-2017,B25127_41_5_to_19,0,0,6,77,82,2692,96,0,0,29,0,0,0,1,0,0,0,64,20,0,0,0,0,8
2013-2017,B25127_42_20_to_49,0,0,5,61,26,3222,0,0,0,7,0,0,0,0,0,0,0,56,0,0,14,0,0,0
2013-2017,B25127_43_50_or_more,0,0,0,37,31,3542,30,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2013-2017,"B25127_44_mobile_home,_boat,_rv,_van,_etc.",0,0,16,4,63,6,2,0,0,9,0,13,0,0,7,51,0,0,0,0,0,0,0,0
2013-2017,B25127_45_renter_occupied,5221,12483,22727,126947,117181,162190,56785,1392,4565,126673,5178,26862,38358,777,9797,10968,3303,39087,2550,2130,6673,4561,1554,5388
2013-2017,B25127_46_built_2010_or_later,95,792,702,7236,3006,10047,3982,24,70,5749,127,2049,2385,0,540,449,44,1690,20,205,535,172,86,88
2013-2017,"B25127_47_1,_detached__or_attached",68,146,201,454,296,534,141,24,24,677,60,621,605,0,112,290,44,29,0,13,124,8,0,29
2013-2017,B25127_48_2_to_4,0,43,8,114,32,627,61,0,0,169,36,34,36,0,0,0,0,38,0,0,0,37,0,0
2013-2017,B25127_49_5_to_19,13,100,120,872,698,1086,427,0,39,839,0,520,686,0,312,110,0,133,0,0,167,0,9,13
2013-2017,B25127_50_20_to_49,0,284,222,470,295,679,258,0,7,264,10,138,412,0,60,0,0,157,20,22,205,59,0,0
2013-2017,B25127_51_50_or_more,14,182,121,5321,1654,7121,3082,0,0,3800,21,680,646,0,36,49,0,1333,0,170,39,68,77,0
2013-2017,"B25127_52_mobile_home,_boat,_rv,_van,_etc.",0,37,30,5,31,0,13,0,0,0,0,56,0,0,20,0,0,0,0,0,0,0,0,46
2013-2017,B25127_53_built_2000_to_2009,881,2707,3495,16284,9941,14466,9379,90,813,18349,550,8183,8267,56,2120,2770,176,4005,212,265,869,415,669,924
2013-2017,"B25127_54_1,_detached__or_attached",519,1293,1711,2901,2266,1495,529,65,540,5116,364,3570,4693,56,1124,1844,169,350,146,17,432,126,70,693
2013-2017,B25127_55_2_to_4,44,169,101,261,335,856,152,0,88,384,18,335,188,0,64,21,0,83,0,0,25,11,0,20
2013-2017,B25127_56_5_to_19,26,446,895,3454,2580,2055,527,0,133,4494,86,2757,2192,0,449,481,7,490,58,51,213,116,205,133
2013-2017,B25127_57_20_to_49,98,413,164,1077,729,920,573,12,9,1480,49,400,548,0,268,101,0,270,0,11,91,54,171,0
2013-2017,B25127_58_50_or_more,194,386,585,8455,3981,9140,7598,13,15,6779,33,1085,587,0,165,191,0,2812,8,186,108,100,223,0
2013-2017,"B25127_59_mobile_home,_boat,_rv,_van,_etc.",0,0,39,136,50,0,0,0,28,96,0,36,59,0,50,132,0,0,0,0,0,8,0,78
2013-2017,B25127_60_built_1980_to_1999,2766,4515,8749,40835,31233,15012,13635,421,1270,48190,1615,10675,15895,154,4945,5181,716,8365,690,331,1665,2175,394,1667
2013-2017,"B25127_61_1,_detached__or_attached",1931,2909,3425,11143,9108,1433,1220,226,619,15579,1011,4252,6593,98,3030,2992,332,1498,132,46,259,641,224,817
2013-2017,B25127_62_2_to_4,121,354,422,1589,1300,1404,449,35,44,1852,91,404,794,18,237,143,103,307,22,10,156,233,25,99
2013-2017,B25127_63_5_to_19,312,506,3546,16746,14457,4023,1988,16,486,19163,336,4522,6840,0,698,1712,164,2157,440,55,915,1063,111,298
2013-2017,B25127_64_20_to_49,114,291,536,2363,1254,1511,902,24,88,3682,35,581,575,0,187,72,0,824,44,46,76,67,34,15
2013-2017,B25127_65_50_or_more,238,421,767,8970,5035,6600,9057,120,12,7558,109,832,915,0,414,112,50,3579,52,174,259,171,0,69
2013-2017,"B25127_66_mobile_home,_boat,_rv,_van,_etc.",50,34,53,24,79,41,19,0,21,356,33,84,178,38,379,150,67,0,0,0,0,0,0,369
2013-2017,B25127_67_built_1960_to_1979,768,3133,4436,41669,48037,40270,14678,327,1527,43299,1332,3567,8922,202,1609,1747,869,16309,1096,794,2433,1298,162,1401
2013-2017,"B25127_68_1,_detached__or_attached",661,2275,1955,8447,8547,2959,1227,117,969,14638,968,2064,4966,186,1160,1376,626,1318,364,94,455,614,119,673
2013-2017,B25127_69_2_to_4,9,137,475,1438,1941,4915,1138,99,162,1283,167,250,419,6,66,114,38,770,28,6,198,92,16,86
2013-2017,B25127_70_5_to_19,20,271,1547,16047,29485,13498,3542,72,357,17552,93,991,2770,10,93,216,194,6335,556,197,1518,523,20,336
2013-2017,B25127_71_20_to_49,20,210,151,1862,1848,3344,996,12,8,2046,8,0,321,0,67,13,0,986,25,53,202,8,7,47
2013-2017,B25127_72_50_or_more,45,190,296,13822,6128,15526,7731,27,13,7564,37,241,320,0,133,9,11,6900,123,444,60,54,0,48
2013-2017,"B25127_73_mobile_home,_boat,_rv,_van,_etc.",13,50,12,53,88,28,44,0,18,216,59,21,126,0,90,19,0,0,0,0,0,7,0,211
2013-2017,B25127_74_built_1940_to_1959,470,829,1619,16319,20231,41358,12057,132,538,9883,688,1478,2198,75,390,694,919,6951,521,482,534,319,231,327
2013-2017,"B25127_75_1,_detached__or_attached",407,542,1042,6551,7507,6646,2594,105,293,5246,576,748,1126,74,311,568,549,1575,274,136,178,108,205,238
2013-2017,B25127_76_2_to_4,7,103,204,949,1247,6883,1580,27,52,618,39,113,240,0,9,111,192,686,7,73,80,0,0,59
2013-2017,B25127_77_5_to_19,11,116,323,4734,9311,12693,3976,0,149,2953,57,503,741,1,50,15,159,2736,217,16,229,211,26,30
2013-2017,B25127_78_20_to_49,10,58,33,877,662,4493,924,0,29,288,0,35,12,0,0,0,19,450,0,26,7,0,0,0
2013-2017,B25127_79_50_or_more,27,0,17,3175,1489,10621,2983,0,15,685,16,79,79,0,5,0,0,1504,23,231,40,0,0,0
2013-2017,"B25127_80_mobile_home,_boat,_rv,_van,_etc.",8,10,0,33,15,22,0,0,0,93,0,0,0,0,15,0,0,0,0,0,0,0,0,0
2013-2017,B25127_81_built_1939_or_earlier,241,507,3726,4604,4733,41037,3054,398,347,1203,866,910,691,290,193,127,579,1767,11,53,637,182,12,981
2013-2017,"B25127_82_1,_detached__or_attached",203,349,2096,1629,2353,11433,1237,351,281,598,723,714,359,279,169,110,249,720,0,0,291,14,12,593
2013-2017,B25127_83_2_to_4,22,82,796,527,332,7460,423,13,26,154,106,84,51,0,0,17,160,349,0,27,172,88,0,172
2013-2017,B25127_84_5_to_19,0,35,535,1428,1434,6943,834,17,0,301,37,24,253,11,11,0,170,464,0,26,93,71,0,202
2013-2017,B25127_85_20_to_49,0,41,89,159,155,4941,98,0,0,9,0,75,0,0,0,0,0,64,0,0,50,0,0,14
2013-2017,B25127_86_50_or_more,16,0,91,786,443,10225,443,17,0,121,0,2,28,0,0,0,0,130,11,0,31,9,0,0
2013-2017,"B25127_87_mobile_home,_boat,_rv,_van,_etc.",0,0,119,75,16,35,19,0,40,20,0,11,0,0,13,0,0,40,0,0,0,0,0,0
2013-2017,B03002_1_total,90824,156021,246105,1039198,905161,672391,229534,14331,49795,1142004,68406,374558,450763,7359,130159,141159,38991,154710,23580,13843,28135,41379,16117,55673
2013-2017,B03002_2_not_hispanic_or_latino,87548,147663,224482,841956,747734,600562,193847,13646,44969,957409,63265,324132,349721,7098,118453,124644,37369,128810,19595,12369,25128,26902,10032,52701
2013-2017,B03002_3_white_alone,71582,67280,184203,467734,120200,241901,142962,12453,35424,590582,55319,216051,201113,6566,90467,89967,34156,80143,13652,9968,16882,17644,5800,46666
2013-2017,B03002_4_black_or_african_american_alone,10591,66761,21635,182541,564173,315159,19591,703,6774,106546,5113,26940,91160,280,20106,23125,1407,33557,1145,625,5985,5295,2065,3630
2013-2017,B03002_5_american_indian_and_alaska_native_alone,144,878,505,1394,2056,1140,633,51,166,1370,185,827,1094,12,328,360,62,100,15,0,11,181,17,108
2013-2017,B03002_6_asian_alone,1413,4865,11144,152515,38501,25063,23496,137,688,214423,939,63934,36232,88,3367,4321,464,9420,3782,1282,663,2156,1689,830
2013-2017,B03002_7_native_hawaiian_and_other_pacific_islander_alone,34,163,174,458,280,241,186,0,5,548,14,259,498,0,119,112,0,34,13,0,34,34,0,0
2013-2017,B03002_8_some_other_race_alone,69,299,681,4969,3096,2194,824,0,147,3382,50,2158,1357,0,434,325,0,371,44,0,0,137,111,311
2013-2017,B03002_9_two_or_more_races,3715,7417,6140,32345,19428,14864,6155,302,1765,40558,1645,13963,18267,152,3632,6434,1280,5185,944,494,1553,1455,350,1156
2013-2017,B03002_10_two_races_including_some_other_race,2,115,199,2177,810,856,439,0,24,1841,19,986,713,0,46,123,57,151,131,24,129,81,0,13
2013-2017,"B03002_11_two_races_excluding_some_other_race,_and_three_or_more_races",3713,7302,5941,30168,18618,14008,5716,302,1741,38717,1626,12977,17554,152,3586,6311,1223,5034,813,470,1424,1374,350,1143
2013-2017,B03002_12_hispanic_or_latino,3276,8358,21623,197242,157427,71829,35687,685,4826,184595,5141,50426,101042,261,11706,16515,1622,25900,3985,1474,3007,14477,6085,2972
2013-2017,B03002_13_white_alone,2303,5671,15752,96195,49809,31570,21140,347,2913,123344,4129,34924,64410,155,4501,7495,1183,16268,2452,970,1245,10461,4613,2060
2013-2017,B03002_14_black_or_african_american_alone,206,590,468,5402,8292,5903,687,0,376,3839,26,1393,3057,0,537,815,28,566,0,42,341,223,137,39
2013-2017,B03002_15_american_indian_and_alaska_native_alone,6,16,113,1697,1210,617,380,0,61,1092,11,150,529,0,239,22,39,222,25,0,26,122,29,0
2013-2017,B03002_16_asian_alone,91,51,42,989,310,495,80,12,9,1015,0,489,331,0,41,115,0,183,0,0,6,20,0,0
2013-2017,B03002_17_native_hawaiian_and_other_pacific_islander_alone,0,0,0,19,53,48,8,0,0,171,0,71,71,0,0,0,0,20,0,0,0,42,5,0
2013-2017,B03002_18_some_other_race_alone,472,852,3236,83058,92935,28767,12205,208,1232,45769,557,9072,27265,28,5354,7004,212,6513,1146,285,1151,3160,1030,629
2013-2017,B03002_19_two_or_more_races,198,1178,2012,9882,4818,4429,1187,118,235,9365,418,4327,5379,78,1034,1064,160,2128,362,177,238,449,271,244
2013-2017,B03002_20_two_races_including_some_other_race,168,334,989,5042,3005,1809,606,87,133,3916,241,2003,2386,78,766,712,12,1381,266,62,119,228,106,199
2013-2017,"B03002_21_two_races_excluding_some_other_race,_and_three_or_more_races",30,844,1023,4840,1813,2620,581,31,102,5449,177,2324,2993,0,268,352,148,747,96,115,119,221,165,45
2013-2017,B11005_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B11005_2_households_with_one_or_more_people_under_18_years,11593,21395,32177,131500,103070,59794,22849,1583,6546,144257,8425,57900,63419,727,16875,20089,4646,15676,2635,1747,3006,5064,2162,6997
2013-2017,B11005_3_family_households,11420,21286,31850,130995,102366,59391,22689,1533,6378,143412,8335,57608,63035,727,16721,19980,4607,15599,2585,1737,3006,5010,2153,6952
2013-2017,B11005_4_married-couple_family,8221,13807,23837,97031,55153,28923,17677,1039,4506,114323,6496,48706,48191,522,12268,14938,2873,10933,2065,1330,1634,3638,1649,4933
2013-2017,B11005_5_other_family,3199,7479,8013,33964,47213,30468,5012,494,1872,29089,1839,8902,14844,205,4453,5042,1734,4666,520,407,1372,1372,504,2019
2013-2017,"B11005_6_male_householder,_no_wife_present",1109,1623,2604,9032,11670,5027,1471,109,648,7876,560,2370,4227,69,1053,1354,347,1059,159,50,119,302,146,632
2013-2017,"B11005_7_female_householder,_no_husband_present",2090,5856,5409,24932,35543,25441,3541,385,1224,21213,1279,6532,10617,136,3400,3688,1387,3607,361,357,1253,1070,358,1387
2013-2017,B11005_8_nonfamily_households,173,109,327,505,704,403,160,50,168,845,90,292,384,0,154,109,39,77,50,10,0,54,9,45
2013-2017,B11005_9_male_householder,153,64,194,350,451,187,79,24,106,513,59,176,340,0,111,54,33,69,10,10,0,32,0,32
2013-2017,B11005_10_female_householder,20,45,133,155,253,216,81,26,62,332,31,116,44,0,43,55,6,8,40,0,0,22,9,13
2013-2017,B11005_11_households_with_no_people_under_18_years,19869,33593,57845,237742,203624,218191,79461,3985,10291,249123,15556,63399,75887,2404,26404,25256,9544,52987,5864,3561,7413,7476,2616,13811
2013-2017,B11005_12_family_households,12339,19017,33223,126860,100106,62020,25026,2210,6162,137784,9442,36669,44804,1427,16570,17011,5418,17565,3095,1722,2695,4497,1342,7691
2013-2017,B11005_13_married-couple_family,10229,15284,27894,102782,66056,41436,21181,1899,5322,114921,8342,31155,36438,1263,14119,14900,4326,13962,2441,1380,2051,3822,1154,6448
2013-2017,B11005_14_other_family,2110,3733,5329,24078,34050,20584,3845,311,840,22863,1100,5514,8366,164,2451,2111,1092,3603,654,342,644,675,188,1243
2013-2017,"B11005_15_male_householder,_no_wife_present",603,806,1725,7146,9093,5065,1511,72,276,7900,371,1823,2916,74,850,647,450,1485,158,105,176,240,100,317
2013-2017,"B11005_16_female_householder,_no_husband_present",1507,2927,3604,16932,24957,15519,2334,239,564,14963,729,3691,5450,90,1601,1464,642,2118,496,237,468,435,88,926
2013-2017,B11005_17_nonfamily_households,7530,14576,24622,110882,103518,156171,54435,1775,4129,111339,6114,26730,31083,977,9834,8245,4126,35422,2769,1839,4718,2979,1274,6120
2013-2017,B11005_18_male_householder,3621,6564,11078,43900,45000,70632,26629,846,1689,50617,2606,12222,14688,427,4337,4169,2307,15197,1252,906,2273,1154,561,3002
2013-2017,B11005_19_female_householder,3909,8012,13544,66982,58518,85539,27806,929,2440,60722,3508,14508,16395,550,5497,4076,1819,20225,1517,933,2445,1825,713,3118
2013-2017,B11016_1_total,31462,54988,90022,369242,306694,277985,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808
2013-2017,B11016_2_family_households,23759,40303,65073,257855,202472,121411,47715,3743,12540,281196,17777,94277,107839,2154,33291,36991,10025,33164,5680,3459,5701,9507,3495,14643
2013-2017,B11016_3_2-person_household,9526,14189,26504,97130,73818,57498,22453,1945,4934,105123,7356,29209,33177,1185,12487,12850,4448,15878,2229,1399,2608,3374,877,6369
2013-2017,B11016_4_3-person_household,5847,10400,15201,63580,50541,29626,10308,790,2824,67070,4225,21844,24211,456,8157,8501,2206,8013,1573,891,1394,1927,848,3311
2013-2017,B11016_5_4-person_household,4743,9004,14471,56800,40020,20577,10048,566,2435,65913,3552,25960,26839,268,6782,8305,1958,5631,1147,663,1106,2251,709,2792
2013-2017,B11016_6_5-person_household,2170,4021,5599,24996,20775,8322,3371,254,1372,27147,1326,10907,13139,156,3414,4483,862,2732,424,427,371,1061,554,1482
2013-2017,B11016_7_6-person_household,856,1475,2172,9350,10502,3207,1048,122,630,9919,923,4665,6037,56,1585,1935,275,649,210,61,190,517,401,437
2013-2017,B11016_8_7-or-more_person_household,617,1214,1126,5999,6816,2181,487,66,345,6024,395,1692,4436,33,866,917,276,261,97,18,32,377,106,252
2013-2017,B11016_9_nonfamily_households,7703,14685,24949,111387,104222,156574,54595,1825,4297,112184,6204,27022,31467,977,9988,8354,4165,35499,2819,1849,4718,3033,1283,6165
2013-2017,B11016_10_1-person_household,5861,12467,19564,92107,86830,121126,40110,1550,3431,87948,5053,20966,25703,875,8155,6523,3415,28751,1871,1600,3781,2430,977,4771
2013-2017,B11016_11_2-person_household,1514,1780,4405,15186,12784,27375,11376,203,614,18357,963,4910,4647,100,1401,1480,557,5815,487,239,855,446,275,1131
2013-2017,B11016_12_3-person_household,175,269,694,2773,2437,4735,2135,32,154,3563,140,736,605,0,241,164,134,747,159,0,53,101,9,212
2013-2017,B11016_13_4-person_household,11,104,134,929,1347,1988,747,14,48,1619,48,301,337,0,138,109,48,174,217,10,29,29,22,21
2013-2017,B11016_14_5-person_household,109,29,134,301,619,876,171,26,50,483,0,77,155,2,37,23,11,4,49,0,0,18,0,30
2013-2017,B11016_15_6-person_household,20,29,18,34,129,344,52,0,0,129,0,32,20,0,16,42,0,8,0,0,0,9,0,0
2013-2017,B11016_16_7-or-more_person_household,13,7,0,57,76,130,4,0,0,85,0,0,0,0,0,13,0,0,36,0,0,0,0,0
